drugbank_id	zinc_id
DB00198	ZINC000065748307
DB00199	ZINC000008101085
DB00199	ZINC000008101086
DB00199	ZINC000008101087
DB00199	ZINC000008101088
DB00199	ZINC000085534336
DB00199	ZINC000085902261
DB00199	ZINC000095544283
DB00199	ZINC000095544284
DB00199	ZINC000095546216
DB00199	ZINC000095613589
DB00199	ZINC000095731427
DB00199	ZINC000095731431
DB00199	ZINC000095810506
DB00199	ZINC000097943153
DB00199	ZINC000169289798
DB00199	ZINC000169289799
DB00199	ZINC000169294666
DB00199	ZINC000169294667
DB00199	ZINC000169294668
DB00199	ZINC000169294669
DB00199	ZINC000169295900
DB00199	ZINC000169346768
DB00199	ZINC000169346770
DB00199	ZINC000169346772
DB00199	ZINC000169346774
DB00199	ZINC000169362685
DB00199	ZINC000169362686
DB00199	ZINC000169362687
DB00199	ZINC000169362688
DB00199	ZINC000169619683
DB00199	ZINC000169619684
DB00199	ZINC000169677017
DB00199	ZINC000169722553
DB00199	ZINC000169722554
DB00199	ZINC000169722555
DB00199	ZINC000169722582
DB00199	ZINC000169731008
DB00199	ZINC000239222141
DB00199	ZINC000239222142
DB00199	ZINC000239415425
DB00199	ZINC000239415426
DB00199	ZINC000245224278
DB00199	ZINC000245224280
DB00199	ZINC000247910372
DB00199	ZINC000248173531
DB00199	ZINC000248173536
DB00199	ZINC000248173541
DB00199	ZINC000252695069
DB00199	ZINC000252695070
DB00199	ZINC000252695071
DB00199	ZINC000253388545
DB00199	ZINC000253907899
DB00199	ZINC000253907904
DB00199	ZINC000253907910
DB00199	ZINC000253907913
DB00199	ZINC000253916055
DB00199	ZINC000253916057
DB00199	ZINC000253916059
DB00199	ZINC000253916061
DB00199	ZINC000255271629
DB00199	ZINC000306122399
DB00199	ZINC000306122400
DB00201	ZINC000000001084
DB00202	ZINC000001530820
DB00203	ZINC000019796168
DB00204	ZINC000000596731
DB00205	ZINC000000057464
DB00206	ZINC000003831415
DB00206	ZINC000003831416
DB00206	ZINC000003938746
DB00206	ZINC000003978051
DB00206	ZINC000004291195
DB00206	ZINC000005226647
DB00206	ZINC000005273726
DB00206	ZINC000008035039
DB00206	ZINC000011615764
DB00206	ZINC000011615766
DB00206	ZINC000017611753
DB00206	ZINC000017611756
DB00206	ZINC000017611759
DB00206	ZINC000017611762
DB00206	ZINC000017653949
DB00206	ZINC000028540224
DB00206	ZINC000038147256
DB00206	ZINC000096023549
DB00206	ZINC000105074065
DB00206	ZINC000105074067
DB00206	ZINC000105074071
DB00206	ZINC000135850888
DB00206	ZINC000169295100
DB00206	ZINC000169373234
DB00206	ZINC000169373235
DB00206	ZINC000245240574
DB00207	ZINC000085537026
DB00207	ZINC000085552177
DB00207	ZINC000095628210
DB00207	ZINC000169619700
DB00207	ZINC000169621140
DB00207	ZINC000169640814
DB00207	ZINC000239347287
DB00207	ZINC000239347288
DB00207	ZINC000239347289
DB00207	ZINC000239347290
DB00207	ZINC000245190508
DB00207	ZINC000245190509
DB00207	ZINC000245190510
DB00207	ZINC000245190511
DB00207	ZINC000245190512
DB00207	ZINC000245190513
DB00207	ZINC000245190514
DB00207	ZINC000245190515
DB00207	ZINC000248162657
DB00207	ZINC000248162661
DB00207	ZINC000248162664
DB00207	ZINC000248163154
DB00207	ZINC000248163159
DB00207	ZINC000248163164
DB00207	ZINC000248163170
DB00207	ZINC000248163173
DB00207	ZINC000253487610
DB00207	ZINC000253487611
DB00207	ZINC000253487612
DB00207	ZINC000253487613
DB00207	ZINC000299804407
DB00207	ZINC000299818995
DB00207	ZINC000299845302
DB00207	ZINC000299845304
DB00207	ZINC000299845306
DB00207	ZINC000299845308
DB00208	ZINC000019594599
DB00209	ZINC000012503068
DB00209	ZINC000100016084
DB00209	ZINC000100018594
DB00209	ZINC000100018598
DB00209	ZINC000100371992
DB00210	ZINC000003784182
DB00211	ZINC000000000507
DB00211	ZINC000000403079
DB00212	ZINC000004217406
DB00212	ZINC000014879963
DB00212	ZINC000043769552
DB00212	ZINC000078219181
DB00212	ZINC000078219182
DB00212	ZINC000169352835
DB00212	ZINC000299813865
DB00212	ZINC000299813866
DB00212	ZINC000299813867
DB00212	ZINC000299813868
DB00213	ZINC000004099200
DB00213	ZINC000004676424
DB00214	ZINC000000005823
DB00215	ZINC000003794601
DB00215	ZINC000003800706
DB00216	ZINC000000607845
DB00216	ZINC000003823475
DB00217	ZINC000002041046
DB00218	ZINC000003826253
DB00218	ZINC000003873790
DB00218	ZINC000014768406
DB00218	ZINC000027213606
DB00219	ZINC000001812122
DB00219	ZINC000001812123
DB00220	ZINC000000896764
DB00220	ZINC000001995485
DB00220	ZINC000003833846
DB00220	ZINC000003874489
DB00220	ZINC000003874490
DB00220	ZINC000026994433
DB00220	ZINC000028704875
DB00220	ZINC000070463348
DB00220	ZINC000070463349
DB00220	ZINC000253387925
DB00220	ZINC000253387926
DB00220	ZINC000669678895
DB00221	ZINC000000000401
DB00221	ZINC000000402979
DB00221	ZINC000000402980
DB00221	ZINC000000402981
DB00222	ZINC000000537791
DB00222	ZINC000100001976
DB00222	ZINC000100070954
DB00223	ZINC000003983935
DB00223	ZINC000003983936
DB00223	ZINC000003983937
DB00223	ZINC000003983938
DB00223	ZINC000005752191
DB00223	ZINC000007997742
DB00223	ZINC000009213029
DB00223	ZINC000022116569
DB00223	ZINC000022116573
DB00223	ZINC000033988377
DB00223	ZINC000033988378
DB00223	ZINC000066331828
DB00223	ZINC000118913290
DB00223	ZINC000118913291
DB00223	ZINC000118913292
DB00223	ZINC000118913293
DB00223	ZINC000254080637
DB00223	ZINC000254080638
DB00223	ZINC000254080639
DB00223	ZINC000257345498
DB00223	ZINC000257345499
DB00224	ZINC000022446654
DB00224	ZINC000022446660
DB00224	ZINC000022448696
DB00224	ZINC000043947645
DB00224	ZINC000100308074
DB00224	ZINC000100470876
DB00225	ZINC000021297783
DB00226	ZINC000001530647
DB00226	ZINC000004097338
DB00227	ZINC000000601230
DB00227	ZINC000001623088
DB00227	ZINC000001623089
DB00227	ZINC000003812841
DB00227	ZINC000003831008
DB00227	ZINC000003831009
DB00227	ZINC000003831010
DB00227	ZINC000003831011
DB00227	ZINC000003833873
DB00227	ZINC000003833890
DB00227	ZINC000004245664
DB00227	ZINC000005893052
DB00227	ZINC000005893060
DB00227	ZINC000005924532
DB00227	ZINC000006001653
DB00227	ZINC000007997910
DB00227	ZINC000008681777
DB00227	ZINC000008681778
DB00227	ZINC000008681779
DB00227	ZINC000008773253
DB00227	ZINC000009211292
DB00227	ZINC000009212684
DB00227	ZINC000009212685
DB00227	ZINC000011592690
DB00227	ZINC000011592691
DB00227	ZINC000011592692
DB00227	ZINC000011592693
DB00227	ZINC000014984346
DB00227	ZINC000027523306
DB00227	ZINC000027523307
DB00227	ZINC000027646879
DB00227	ZINC000027646885
DB00227	ZINC000027899841
DB00227	ZINC000027899846
DB00227	ZINC000034779368
DB00227	ZINC000034779370
DB00227	ZINC000036387028
DB00227	ZINC000039341568
DB00227	ZINC000040434659
DB00227	ZINC000043204622
DB00227	ZINC000043204623
DB00227	ZINC000043204624
DB00227	ZINC000043772719
DB00227	ZINC000043772720
DB00227	ZINC000043772721
DB00227	ZINC000043772723
DB00227	ZINC000043772724
DB00227	ZINC000043772726
DB00227	ZINC000044021311
DB00227	ZINC000044021314
DB00227	ZINC000044021317
DB00227	ZINC000044699492
DB00227	ZINC000044699495
DB00227	ZINC000048015902
DB00227	ZINC000058660617
DB00227	ZINC000095486476
DB00227	ZINC000097975246
DB00227	ZINC000097975247
DB00227	ZINC000098186948
DB00227	ZINC000098186949
DB00227	ZINC000100732355
DB00227	ZINC000104892962
DB00227	ZINC000104892965
DB00227	ZINC000104892969
DB00227	ZINC000104892974
DB00227	ZINC000105489413
DB00227	ZINC000105489417
DB00227	ZINC000105489420
DB00227	ZINC000105489422
DB00227	ZINC000144784646
DB00227	ZINC000145379015
DB00227	ZINC000145379222
DB00227	ZINC000149034913
DB00227	ZINC000149035103
DB00227	ZINC000168718255
DB00227	ZINC000169303672
DB00227	ZINC000169303673
DB00227	ZINC000169303674
DB00227	ZINC000169303675
DB00227	ZINC000202258247
DB00227	ZINC000202258514
DB00227	ZINC000202614268
DB00227	ZINC000202614295
DB00227	ZINC000202614317
DB00227	ZINC000202685609
DB00227	ZINC000203194254
DB00227	ZINC000203194263
DB00227	ZINC000203194273
DB00227	ZINC000204724875
DB00227	ZINC000206556909
DB00227	ZINC000206556952
DB00227	ZINC000206556998
DB00227	ZINC000206557036
DB00227	ZINC000229756267
DB00227	ZINC000245219476
DB00228	ZINC000003812964
DB00228	ZINC000003872449
DB00229	ZINC000003830445
DB00229	ZINC000003830446
DB00229	ZINC000003830447
DB00229	ZINC000003830448
DB00230	ZINC000000005152
DB00230	ZINC000005760031
DB00231	ZINC000000000740
DB00231	ZINC000000896634
DB00232	ZINC000000897229
DB00232	ZINC000000897232
DB00233	ZINC000000000922
DB00234	ZINC000000002275
DB00234	ZINC000000002284
DB00234	ZINC000000006923
DB00234	ZINC000003996032
DB00235	ZINC000009224016
DB00236	ZINC000001530753
DB00237	ZINC000000968345
DB00237	ZINC000003651680
DB00238	ZINC000000004778
DB00239	ZINC000003873295
DB00239	ZINC000003873296
DB00239	ZINC000252625887
DB00240	ZINC000030691420
DB00241	ZINC000003830347
DB00242	ZINC000001545060
DB00242	ZINC000001686197
DB00242	ZINC000003798064
DB00242	ZINC000003830565
DB00242	ZINC000003830566
DB00242	ZINC000003830567
DB00242	ZINC000011616248
DB00242	ZINC000011616249
DB00243	ZINC000095619100
DB00243	ZINC000095619101
DB00244	ZINC000000001688
DB00245	ZINC000000968360
DB00245	ZINC000100036536
DB00245	ZINC000100042145
DB00245	ZINC000100042150
DB00245	ZINC000100068353
DB00246	ZINC000000538550
DB00247	ZINC000000601286
DB00247	ZINC000053151228
DB00247	ZINC000053231207
DB00247	ZINC000053267869
DB00247	ZINC000053267871
DB00247	ZINC000064481093
DB00247	ZINC000169367065
DB00248	ZINC000001531027
DB00248	ZINC000003800008
DB00248	ZINC000003830350
DB00248	ZINC000003830351
DB00248	ZINC000003830352
DB00248	ZINC000011592905
DB00249	ZINC000000537850
DB00249	ZINC000002562618
DB00249	ZINC000003586101
DB00249	ZINC000003834173
DB00249	ZINC000005223557
DB00249	ZINC000013547843
DB00249	ZINC000017779640
DB00249	ZINC000027654519
DB00250	ZINC000000006310
DB00251	ZINC000000897382
DB00251	ZINC000003873934
DB00251	ZINC000003873935
DB00251	ZINC000003873936
