drugbank_id	rhea_id
DB03143	35986
DB03144	60107
DB03145	58296
DB03151	26833
DB03156	58658
DB03156	58720
DB03156	75525
DB03156	85312
DB03156	85313
DB03158	58282
DB03163	57552
DB03166	30089
DB03169	43074
DB03170	57328
DB03174	58383
DB03175	28831
DB03192	62616
DB03192	74272
DB03192	86041
DB03193	25629
DB03201	35235
DB03201	35236
DB03203	57756
DB03204	63416
DB03205	58442
DB03208	18082
DB03214	134467
DB03215	73962
DB03222	61404
DB03225	57719
DB03225	57912
DB03227	14649
DB03229	17865
DB03232	40407
DB03237	42819
DB03237	58098
DB03237	78267
DB03246	28272
DB03246	47002
DB03246	47013
DB03246	6178
DB03252	32551
DB03252	32557
DB03255	15882
DB03256	57457
DB03258	61481
DB03264	57375
DB03277	140999
DB03277	27931
DB03277	3528
DB03278	17113
DB03278	42090
DB03278	48300
DB03283	2179
DB03283	2181
DB03283	27586
DB03283	27907
DB03283	42548
DB03283	42589
DB03283	62346
DB03285	77948
DB03295	57835
DB03300	71308
DB03304	58703
DB03310	58297
DB03313	57511
DB03315	60732
DB03317	29033
DB03320	136599
DB03320	57721
DB03323	17057
DB03323	17306
DB03323	17716
DB03323	18147
DB03323	18167
DB03323	36218
DB03323	47931
DB03323	64351
DB03328	29919
DB03344	57257
DB03344	57733
DB03344	57798
DB03344	58747
DB03350	28938
DB03357	17756
DB03357	32382
DB03364	137116
DB03364	137152
DB03366	16069
DB03374	57506
DB03381	17600
DB03389	17535
DB03389	27476
DB03389	46994
DB03389	53455
DB03397	57705
DB03397	67138
DB03397	68623
DB03401	203600
DB03401	58414
DB03402	73125
DB03403	60377
DB03407	57730
DB03408	58173
DB03410	77858
DB03413	60471
DB03416	37575
DB03419	17568
DB03430	16660
DB03430	18115
DB03432	57731
DB03432	58655
DB03435	58223
DB03438	75158
DB03438	84475
DB03440	142655
DB03443	29105
DB03454	18404
DB03460	35288
DB03460	35305
DB03461	58349
DB03462	17821
DB03467	17846
DB03470	58290
DB03473	58200
DB03478	83767
DB03481	57818
