drugbank_id	molport_id
DB00270	MolPort-003-848-292
DB00271	MolPort-003-930-326
DB00271	MolPort-003-941-200
DB00271	MolPort-023-220-316
DB00271	MolPort-039-337-007
DB00272	MolPort-001-787-387
DB00272	MolPort-006-110-972
DB00272	MolPort-006-167-503
DB00273	MolPort-001-615-062
DB00273	MolPort-003-850-579
DB00273	MolPort-003-870-249
DB00273	MolPort-023-220-226
DB00274	MolPort-005-934-200
DB00274	MolPort-006-823-792
DB00275	MolPort-003-666-606
DB00275	MolPort-006-069-200
DB00275	MolPort-046-418-317
DB00276	MolPort-003-940-367
DB00276	MolPort-006-129-370
DB00277	MolPort-001-002-058
DB00277	MolPort-001-737-342
DB00278	MolPort-006-069-116
DB00278	MolPort-039-139-553
DB00278	MolPort-042-652-601
DB00279	MolPort-001-783-527
DB00279	MolPort-003-666-408
DB00279	MolPort-003-850-717
DB00280	MolPort-003-666-169
DB00280	MolPort-003-846-985
DB00281	MolPort-001-783-478
DB00281	MolPort-005-943-826
DB00282	MolPort-046-418-523
DB00283	MolPort-003-666-146
DB00283	MolPort-023-220-168
DB00283	MolPort-042-666-007
DB00283	MolPort-044-729-072
DB00284	MolPort-039-138-692
DB00284	MolPort-044-560-719
DB00284	MolPort-046-069-316
DB00285	MolPort-003-666-534
DB00285	MolPort-003-850-838
DB00285	MolPort-003-850-840
DB00285	MolPort-003-987-504
DB00285	MolPort-023-220-227
DB00285	MolPort-046-702-668
DB00287	MolPort-006-167-507
DB00287	MolPort-009-018-459
DB00288	MolPort-003-940-103
DB00289	MolPort-002-052-062
DB00289	MolPort-003-983-468
DB00289	MolPort-006-392-397
DB00289	MolPort-028-751-550
DB00290	MolPort-008-155-965
DB00290	MolPort-009-758-693
DB00290	MolPort-046-594-135
DB00290	MolPort-046-785-892
DB00291	MolPort-000-152-694
DB00292	MolPort-000-917-569
DB00292	MolPort-003-983-475
DB00292	MolPort-006-130-018
DB00293	MolPort-003-850-114
DB00293	MolPort-005-975-891
DB00293	MolPort-006-167-509
DB00294	MolPort-003-847-336
DB00294	MolPort-039-343-842
DB00296	MolPort-003-983-292
DB00296	MolPort-005-935-350
DB00296	MolPort-006-069-213
DB00296	MolPort-006-395-905
DB00296	MolPort-006-395-906
DB00296	MolPort-019-991-389
DB00296	MolPort-023-220-405
DB00296	MolPort-046-069-249
DB00297	MolPort-003-666-503
DB00297	MolPort-004-955-820
DB00297	MolPort-004-959-713
DB00297	MolPort-005-932-346
DB00297	MolPort-044-183-422
DB00298	MolPort-020-000-752
DB00299	MolPort-003-849-798
DB00299	MolPort-006-167-513
DB00300	MolPort-009-679-412
DB00300	MolPort-019-993-741
DB00301	MolPort-003-983-433
DB00302	MolPort-001-792-390
DB00302	MolPort-002-512-008
DB00302	MolPort-035-758-924
DB00303	MolPort-005-935-353
DB00303	MolPort-019-992-343
DB00303	MolPort-023-299-459
DB00303	MolPort-027-947-972
DB00304	MolPort-003-846-424
DB00305	MolPort-003-938-644
DB00307	MolPort-003-845-030
DB00307	MolPort-046-426-232
DB00308	MolPort-019-939-237
DB00308	MolPort-019-991-026
DB00308	MolPort-046-417-344
DB00309	MolPort-006-147-701
DB00309	MolPort-039-339-191
DB00311	MolPort-003-666-681
DB00313	MolPort-001-791-895
DB00313	MolPort-003-850-831
DB00314	MolPort-006-167-516
DB00314	MolPort-046-418-337
DB00314	MolPort-046-785-851
DB00316	MolPort-000-150-777
DB00316	MolPort-044-183-421
DB00317	MolPort-000-883-335
DB00317	MolPort-020-007-837
DB00317	MolPort-044-727-717
DB00319	MolPort-001-898-166
DB00319	MolPort-002-323-858
DB00319	MolPort-003-666-263
DB00319	MolPort-006-147-703
DB00319	MolPort-006-395-721
DB00319	MolPort-023-220-150
DB00319	MolPort-046-426-751
DB00320	MolPort-003-666-163
DB00320	MolPort-046-417-373
DB00321	MolPort-000-696-255
DB00321	MolPort-001-662-651
DB00321	MolPort-003-666-120
DB00321	MolPort-006-392-242
DB00322	MolPort-000-778-409
DB00322	MolPort-002-497-855
DB00322	MolPort-002-507-300
DB00322	MolPort-003-847-384
DB00323	MolPort-003-850-570
DB00323	MolPort-046-691-101
DB00324	MolPort-003-941-413
