drugbank_id	mcule_id
DB00608	MCULE-3610827164
DB00608	MCULE-4724842928
DB00609	MCULE-1322319906
DB00612	MCULE-4376025366
DB00612	MCULE-5024656241
DB00613	MCULE-5116434245
DB00614	MCULE-6333737667
DB00614	MCULE-7057048022
DB00618	MCULE-2646018855
DB00618	MCULE-3936624334
DB00619	MCULE-2384256888
DB00620	MCULE-2275167728
DB00620	MCULE-2624044429
DB00623	MCULE-7579992672
DB00624	MCULE-1294118086
DB00624	MCULE-3333652397
DB00625	MCULE-2122453269
DB00625	MCULE-3949811498
DB00625	MCULE-8420116224
DB00627	MCULE-3788394698
DB00629	MCULE-3449803623
DB00629	MCULE-4615358259
DB00630	MCULE-3180289877
DB00631	MCULE-2276059681
DB00632	MCULE-3239333381
DB00633	MCULE-2124077600
DB00633	MCULE-5424054659
DB00634	MCULE-7029640696
DB00635	MCULE-2603291254
DB00635	MCULE-9427838644
DB00636	MCULE-9236719628
DB00637	MCULE-9080712110
DB00640	MCULE-2748108750
DB00640	MCULE-4219451083
DB00640	MCULE-4739150481
DB00640	MCULE-5682876196
DB00640	MCULE-5882466362
DB00640	MCULE-6268373280
DB00640	MCULE-7071766082
DB00640	MCULE-7671875172
DB00640	MCULE-7821885333
DB00640	MCULE-9546992456
DB00641	MCULE-7655940373
DB00641	MCULE-8390617062
DB00642	MCULE-3512071902
DB00643	MCULE-4133611535
DB00645	MCULE-1206604674
DB00645	MCULE-3987805129
DB00648	MCULE-2068358149
DB00649	MCULE-5741755105
DB00649	MCULE-8043607347
DB00649	MCULE-9252477726
DB00650	MCULE-2077919807
DB00650	MCULE-5270742619
DB00650	MCULE-8534376696
DB00651	MCULE-5509227834
DB00651	MCULE-5961784994
DB00651	MCULE-6180147561
DB00653	MCULE-1504889908
DB00653	MCULE-3504782871
DB00656	MCULE-3098459714
DB00656	MCULE-8110542411
DB00658	MCULE-2316124162
DB00658	MCULE-2424616806
DB00658	MCULE-6957304600
DB00658	MCULE-8144448889
DB00658	MCULE-8710235870
DB00658	MCULE-9759519789
DB00660	MCULE-3101469866
DB00661	MCULE-3016077278
DB00662	MCULE-6632962832
DB00662	MCULE-6926505112
DB00663	MCULE-2421243179
DB00663	MCULE-4528693607
DB00663	MCULE-4580442571
DB00664	MCULE-9934333099
DB00665	MCULE-3215206804
DB00668	MCULE-4868062157
DB00668	MCULE-9462717294
DB00672	MCULE-3261763364
DB00673	MCULE-5558882443
DB00674	MCULE-5400019199
DB00674	MCULE-6757793251
DB00674	MCULE-7156449246
DB00674	MCULE-7226205054
DB00674	MCULE-7403371703
DB00674	MCULE-8969045978
DB00675	MCULE-5876498503
DB00675	MCULE-8346437605
DB00676	MCULE-4369643785
DB00678	MCULE-5204931675
DB00679	MCULE-1090059754
DB00679	MCULE-7796139302
DB00680	MCULE-2107794795
DB00680	MCULE-2907779244
DB00681	MCULE-9034353559
DB00682	MCULE-1618253893
DB00682	MCULE-2794487450
DB00682	MCULE-6870528147
DB00684	MCULE-4100706539
DB00684	MCULE-7660658069
DB00688	MCULE-4341497570
DB00692	MCULE-3004652227
DB00692	MCULE-3770473461
DB00692	MCULE-4568922009
DB00692	MCULE-6481391425
DB00694	MCULE-6546034726
DB00695	MCULE-8037874224
DB00696	MCULE-8198411013
DB00696	MCULE-9244521233
DB00697	MCULE-2342327042
DB00697	MCULE-7965365460
DB00698	MCULE-3169724629
DB00699	MCULE-9494932711
DB00701	MCULE-8147835017
DB00703	MCULE-1114659217
DB00703	MCULE-1665001985
DB00704	MCULE-4222870229
DB00704	MCULE-7032963403
DB00706	MCULE-2699536414
DB00706	MCULE-7903569966
DB00709	MCULE-2096184994
DB00709	MCULE-5537804309
DB00709	MCULE-8483986532
DB00709	MCULE-9770521872
DB00711	MCULE-7296820622
DB00711	MCULE-8882849329
