drugbank id	mesh id
DB00766	C:MESH:D019818
DB00767	C:MESH:C100234
DB00770	C:MESH:D000527
DB00771	C:MESH:C054940
DB00772	C:MESH:D008294
DB00773	C:MESH:D005047
DB00774	C:MESH:D006857
DB00777	C:MESH:C084591
DB00778	C:MESH:D015575
DB00779	C:MESH:D009268
DB00780	C:MESH:D010624
DB00782	C:MESH:D011413
DB00783	C:MESH:D004958
DB00784	C:MESH:D008528
DB00786	C:MESH:C100342
DB00787	C:MESH:D000212
DB00788	C:MESH:D009288
DB00789	C:MESH:D019786
DB00790	C:MESH:D020913
DB00792	C:MESH:D014309
DB00793	C:MESH:C100276
DB00794	C:MESH:D011324
DB00795	C:MESH:D012460
DB00796	C:MESH:C077793
DB00797	C:MESH:D014043
DB00799	C:MESH:C086827
DB00800	C:MESH:D018818
DB00801	C:MESH:C010175
DB00802	C:MESH:D015760
DB00803	C:MESH:D003091
DB00804	C:MESH:D004025
DB00805	C:MESH:C006149
DB00806	C:MESH:D010431
DB00807	C:MESH:C005717
DB00808	C:MESH:D007190
DB00809	C:MESH:D014331
DB00810	C:MESH:D001712
DB00811	C:MESH:D012254
DB00812	C:MESH:D010653
DB00813	C:MESH:D005283
DB00815	C:MESH:D012967
DB00816	C:MESH:D009921
DB00817	C:MESH:C021083
DB00818	C:MESH:D015742
DB00819	C:MESH:D000086
DB00821	C:MESH:C007005
DB00822	C:MESH:D004221
DB00823	C:MESH:D005040
DB00824	C:MESH:C034347
DB00826	C:MESH:D010866
DB00827	C:MESH:D002937
DB00828	C:MESH:D005578
DB00829	C:MESH:D003975
DB00830	C:MESH:D010633
DB00831	C:MESH:D014268
DB00832	C:MESH:C100129
DB00834	C:MESH:D015735
DB00835	C:MESH:D001977
DB00836	C:MESH:D008139
DB00839	C:MESH:D014042
DB00841	C:MESH:D004280
DB00842	C:MESH:D010076
DB00844	C:MESH:D009266
DB00845	C:MESH:D002991
DB00846	C:MESH:D005478
DB00847	C:MESH:D003543
DB00848	C:MESH:D007978
DB00849	C:MESH:D008618
DB00850	C:MESH:D010546
DB00851	C:MESH:D003606
DB00852	C:MESH:D054199
DB00854	C:MESH:D007981
DB00855	C:MESH:D000622
DB00856	C:MESH:D002743
DB00858	C:MESH:C100263
DB00859	C:MESH:D010396
DB00860	C:MESH:D011239
DB00861	C:MESH:D004061
DB00863	C:MESH:D011899
DB00865	C:MESH:D001589
DB00866	C:MESH:D000526
DB00867	C:MESH:D012312
DB00868	C:MESH:C029755
DB00869	C:MESH:C062765
DB00870	C:MESH:D013496
DB00871	C:MESH:D013726
DB00872	C:MESH:C106389
DB00874	C:MESH:D006140
DB00875	C:MESH:D005475
DB00876	C:MESH:C068373
DB00877	C:MESH:D020123
DB00878	C:MESH:D002710
DB00879	C:MESH:C081758
DB00880	C:MESH:D002740
DB00882	C:MESH:D002996
DB00883	C:MESH:D007548
DB00886	C:MESH:C106266
DB00887	C:MESH:D002034
DB00888	C:MESH:D008466
DB00889	C:MESH:D017829
DB00890	C:MESH:D004028
DB00891	C:MESH:D013427
DB00892	C:MESH:C005298
DB00893	C:MESH:D007505
DB00894	C:MESH:D013738
DB00896	C:MESH:C013769
DB00897	C:MESH:D014229
DB00898	C:MESH:D000431
DB00900	C:MESH:D016049
DB00901	C:MESH:C011685
DB00902	C:MESH:C044642
DB00903	C:MESH:D004976
DB00904	C:MESH:D017294
DB00907	C:MESH:D003042
DB00908	C:MESH:D011802
DB00910	C:MESH:C084656
DB00911	C:MESH:D014011
DB00912	C:MESH:C072379
DB00913	C:MESH:C100232
DB00914	C:MESH:D010629
DB00915	C:MESH:D000547
DB00916	C:MESH:D008795
DB00917	C:MESH:D015232
DB00918	C:MESH:C409045
DB00919	C:MESH:D000198
DB00920	C:MESH:D007665
DB00921	C:MESH:D002047
DB00923	C:MESH:C012653
DB00924	C:MESH:C004704
DB00925	C:MESH:D010643
DB00926	C:MESH:D005050
DB00927	C:MESH:D015738
DB00928	C:MESH:D001374
DB00929	C:MESH:D016595
DB00931	C:MESH:D008690
DB00932	C:MESH:C107201
DB00933	C:MESH:D008653
DB00934	C:MESH:D008376
DB00935	C:MESH:D010109
DB00936	C:MESH:D020156
DB00937	C:MESH:D004053
DB00939	C:MESH:D008469
DB00941	C:MESH:C005034
DB00943	C:MESH:D016047
DB00944	C:MESH:C100193
DB00945	C:MESH:D001241
DB00946	C:MESH:D010644
DB00948	C:MESH:D008802
DB00950	C:MESH:C093230
DB00951	C:MESH:D007538
DB00952	C:MESH:C106783
DB00953	C:MESH:C093622
DB00954	C:MESH:C053853
DB00955	C:MESH:D009428
DB00956	C:MESH:D006853
DB00957	C:MESH:C017576
DB00958	C:MESH:D016190
DB00959	C:MESH:D008775
DB00960	C:MESH:D010869
DB00961	C:MESH:D008619
DB00962	C:MESH:C085665
DB00963	C:MESH:C053083
DB00964	C:MESH:C016986
DB00965	C:MESH:D004998
DB00967	C:MESH:C121345
DB00969	C:MESH:C090840
DB00970	C:MESH:D003609
DB00971	C:MESH:C025698
DB00972	C:MESH:C020976
DB00974	C:MESH:D004492
DB00975	C:MESH:D004176
DB00976	C:MESH:C106791
DB00977	C:MESH:D004997
DB00978	C:MESH:C053091
DB00979	C:MESH:D003519
DB00980	C:MESH:C495910
DB00981	C:MESH:D010830
DB00982	C:MESH:D015474
DB00984	C:MESH:C008580
DB00985	C:MESH:D004111
DB00987	C:MESH:D003561
DB00988	C:MESH:D004298
DB00990	C:MESH:C056516
DB00992	C:MESH:C475457
DB00993	C:MESH:D001379
DB00994	C:MESH:D009355
DB00995	C:MESH:D001310
DB00997	C:MESH:D004317
DB00998	C:MESH:C108128
DB00999	C:MESH:D006852
DB01000	C:MESH:D003493
DB01001	C:MESH:D000420
DB01004	C:MESH:D015774
DB01005	C:MESH:D006918
DB01007	C:MESH:C020527
DB01008	C:MESH:D002066
DB01009	C:MESH:D007660
DB01010	C:MESH:D004491
DB01011	C:MESH:D008797
DB01014	C:MESH:C038637
DB01015	C:MESH:D013420
DB01016	C:MESH:D005905
DB01017	C:MESH:D008911
DB01018	C:MESH:D016316
DB01019	C:MESH:D018723
DB01020	C:MESH:C030397
DB01021	C:MESH:D014237
DB01022	C:MESH:D010837
DB01023	C:MESH:D015736
DB01024	C:MESH:D009173
DB01025	C:MESH:C045742
DB01026	C:MESH:D007654
DB01028	C:MESH:D008733
DB01030	C:MESH:D019772
DB01031	C:MESH:C100198
DB01032	C:MESH:D011339
DB01034	C:MESH:D002569
DB01035	C:MESH:D011342
DB01037	C:MESH:D012642
DB01039	C:MESH:D011345
DB01041	C:MESH:D013792
DB01042	C:MESH:D008558
DB01043	C:MESH:D008559
DB01045	C:MESH:D012293
DB01047	C:MESH:D005447
DB01048	C:MESH:C106538
DB01049	C:MESH:D004877
DB01050	C:MESH:D007052
DB01051	C:MESH:D009675
DB01053	C:MESH:D010400
DB01054	C:MESH:D009568
DB01055	C:MESH:D008898
DB01056	C:MESH:D016677
DB01058	C:MESH:D011223
DB01059	C:MESH:D009643
DB01061	C:MESH:D001390
DB01062	C:MESH:C005419
DB01063	C:MESH:C100162
DB01064	C:MESH:D007545
DB01065	C:MESH:D008550
DB01066	C:MESH:C073460
DB01067	C:MESH:D005913
DB01068	C:MESH:D002998
DB01069	C:MESH:D011398
DB01070	C:MESH:D004097
DB01071	C:MESH:C006069
DB01073	C:MESH:C024352
DB01074	C:MESH:D010480
DB01075	C:MESH:D004155
DB01077	C:MESH:D012968
DB01078	C:MESH:D003892
DB01080	C:MESH:D020888
DB01081	C:MESH:D004157
DB01082	C:MESH:D013307
DB01084	C:MESH:C043345
DB01085	C:MESH:D010862
DB01086	C:MESH:D001566
DB01087	C:MESH:D011319
DB01088	C:MESH:D016285
DB01089	C:MESH:C100104
DB01091	C:MESH:C067594
DB01092	C:MESH:D010042
DB01093	C:MESH:D004121
DB01094	C:MESH:C013015
DB01096	C:MESH:D010073
DB01099	C:MESH:D005437
DB01100	C:MESH:D010868
DB01102	C:MESH:C076559
DB01103	C:MESH:D011796
DB01104	C:MESH:D020280
DB01105	C:MESH:C058254
DB01106	C:MESH:C047340
DB01107	C:MESH:C084583
DB01108	C:MESH:C009954
DB01109	C:MESH:D006493
DB01110	C:MESH:D008825
DB01111	C:MESH:C004691
DB01112	C:MESH:D002444
DB01113	C:MESH:D010208
DB01114	C:MESH:D002744
DB01115	C:MESH:D009543
DB01116	C:MESH:D014294
DB01117	C:MESH:D053626
DB01118	C:MESH:D000638
DB01119	C:MESH:D003981
DB01120	C:MESH:D005907
DB01121	C:MESH:C005396
DB01123	C:MESH:D011370
DB01124	C:MESH:D014044
DB01127	C:MESH:D004464
DB01128	C:MESH:C053541
DB01129	C:MESH:D064750
DB01130	C:MESH:C035287
DB01131	C:MESH:D002727
DB01133	C:MESH:C058651
DB01134	C:MESH:C019323
DB01135	C:MESH:C049429
DB01138	C:MESH:D013442
DB01139	C:MESH:D002514
DB01142	C:MESH:D004316
DB01144	C:MESH:D004005
DB01145	C:MESH:C036115
DB01146	C:MESH:C009871
DB01147	C:MESH:D003023
DB01148	C:MESH:D005422
DB01149	C:MESH:C051752
DB01151	C:MESH:D003891
DB01152	C:MESH:D002174
DB01153	C:MESH:C061131
DB01154	C:MESH:D013840
DB01156	C:MESH:D016642
DB01157	C:MESH:D016597
DB01158	C:MESH:C045166
DB01159	C:MESH:D006221
DB01161	C:MESH:C004616
DB01162	C:MESH:C041226
DB01163	C:MESH:D000560
DB01165	C:MESH:D015242
DB01167	C:MESH:D017964
DB01168	C:MESH:D011344
DB01170	C:MESH:D006145
DB01171	C:MESH:D020912
DB01172	C:MESH:D007612
DB01173	C:MESH:D009966
DB01174	C:MESH:D010634
DB01176	C:MESH:D003501
DB01177	C:MESH:D015255
DB01178	C:MESH:D002720
DB01179	C:MESH:D011034
DB01180	C:MESH:C084826
DB01181	C:MESH:D007069
DB01182	C:MESH:D011405
DB01183	C:MESH:D009270
DB01184	C:MESH:D004294
DB01185	C:MESH:D005474
DB01186	C:MESH:D010479
DB01187	C:MESH:D007481
DB01190	C:MESH:D002981
DB01191	C:MESH:D020372
DB01192	C:MESH:D010111
DB01193	C:MESH:D000070
DB01194	C:MESH:C111827
DB01195	C:MESH:D005424
DB01196	C:MESH:D004961
DB01198	C:MESH:C515050
DB01199	C:MESH:D014403
DB01200	C:MESH:D001971
DB01201	C:MESH:C018421
DB01203	C:MESH:D009248
DB01204	C:MESH:D008942
DB01205	C:MESH:D005442
DB01206	C:MESH:D008130
DB01207	C:MESH:C060219
DB01208	C:MESH:C061363
DB01209	C:MESH:C010827
DB01210	C:MESH:D002040
DB01211	C:MESH:D017291
DB01212	C:MESH:D002443
DB01214	C:MESH:D014290
DB01215	C:MESH:D004949
DB01216	C:MESH:D018120
DB01218	C:MESH:C023768
DB01219	C:MESH:D003620
DB01221	C:MESH:D007649
DB01222	C:MESH:D019819
DB01223	C:MESH:D000628
DB01225	C:MESH:D006493
DB01228	C:MESH:D016700
DB01229	C:MESH:D017239
DB01230	C:MESH:D010389
DB01231	C:MESH:C004858
DB01232	C:MESH:D019258
DB01233	C:MESH:D008787
DB01234	C:MESH:D003907
DB01235	C:MESH:D007980
DB01239	C:MESH:D002749
DB01240	C:MESH:D011464
DB01241	C:MESH:D015248
DB01242	C:MESH:D002997
DB01243	C:MESH:C004357
DB01244	C:MESH:D015764
DB01245	C:MESH:C033019
DB01246	C:MESH:D014291
DB01247	C:MESH:D007520
DB01249	C:MESH:C044834
DB01250	C:MESH:C032587
DB01251	C:MESH:C010969
DB01252	C:MESH:C087255
DB01253	C:MESH:D004874
DB01256	C:MESH:C508887
DB01260	C:MESH:D003898
DB01263	C:MESH:C101425
DB01266	C:MESH:C472086
DB01275	C:MESH:D006830
DB01278	C:MESH:C105254
DB01280	C:MESH:C104457
DB01282	C:MESH:C020731
DB01283	C:MESH:C473384
DB01284	C:MESH:D003366
DB01288	C:MESH:D005280
DB01289	C:MESH:C100171
DB01291	C:MESH:C009118
DB01294	C:MESH:C015715
