drugbank_id	lincs_id
DB00559	LSM-5825
DB00561	LSM-5058
DB00562	LSM-2474
DB00563	LSM-4285
DB00563	LSM-5690
DB00564	LSM-3610
DB00565	LSM-45935
DB00565	LSM-5147
DB00566	LSM-4749
DB00567	LSM-5957
DB00568	LSM-2142
DB00568	LSM-42858
DB00570	LSM-1647
DB00570	LSM-36946
DB00570	LSM-6068
DB00571	LSM-4329
DB00571	LSM-5318
DB00571	LSM-5972
DB00572	LSM-15608
DB00572	LSM-1806
DB00572	LSM-2897
DB00572	LSM-43258
DB00572	LSM-4380
DB00572	LSM-5514
DB00573	LSM-6498
DB00574	LSM-5685
DB00575	LSM-4223
DB00576	LSM-5455
DB00577	LSM-5571
DB00579	LSM-45791
DB00580	LSM-5305
DB00582	LSM-5244
DB00582	LSM-5570
DB00584	LSM-3282
DB00584	LSM-5558
DB00585	LSM-3031
DB00585	LSM-42962
DB00585	LSM-42963
DB00586	LSM-2160
DB00587	LSM-3630
DB00588	LSM-3384
DB00588	LSM-5291
DB00588	LSM-5328
DB00589	LSM-3984
DB00590	LSM-4335
DB00590	LSM-6569
DB00591	LSM-1804
DB00591	LSM-5482
DB00591	LSM-5988
DB00593	LSM-5195
DB00594	LSM-4194
DB00598	LSM-1282
DB00598	LSM-5220
DB00600	LSM-5642
DB00601	LSM-5750
DB00602	LSM-42824
DB00602	LSM-5397
DB00603	LSM-21624
DB00603	LSM-5882
DB00604	LSM-2133
DB00604	LSM-3312
DB00604	LSM-6397
DB00605	LSM-43065
DB00605	LSM-4338
DB00606	LSM-4421
DB00607	LSM-2402
DB00607	LSM-5446
DB00608	LSM-1901
DB00609	LSM-5620
DB00610	LSM-6000
DB00611	LSM-45696
DB00612	LSM-1886
DB00613	LSM-4042
DB00614	LSM-44949
DB00615	LSM-43193
DB00619	LSM-1023
DB00620	LSM-1503
DB00620	LSM-3736
DB00620	LSM-5391
DB00621	LSM-45444
DB00621	LSM-5544
DB00622	LSM-1418
DB00623	LSM-3226
DB00624	LSM-1628
DB00624	LSM-1643
DB00624	LSM-2564
DB00624	LSM-5153
DB00625	LSM-5526
DB00626	LSM-5003
DB00627	LSM-4676
DB00629	LSM-3266
DB00630	LSM-5831
DB00631	LSM-1837
DB00631	LSM-45668
DB00633	LSM-1722
DB00634	LSM-5374
DB00635	LSM-1690
DB00635	LSM-24953
DB00635	LSM-5890
DB00636	LSM-2996
DB00637	LSM-5502
DB00639	LSM-1344
DB00640	LSM-28568
DB00640	LSM-4491
DB00640	LSM-5800
DB00640	LSM-6461
DB00641	LSM-1830
DB00641	LSM-2492
DB00641	LSM-5417
DB00641	LSM-6463
DB00642	LSM-6253
DB00642	LSM-6353
DB00643	LSM-3749
DB00645	LSM-5801
DB00646	LSM-43311
DB00646	LSM-43348
DB00647	LSM-44977
DB00648	LSM-1451
DB00649	LSM-5983
DB00650	LSM-5146
DB00651	LSM-4299
DB00654	LSM-43170
DB00655	LSM-1506
DB00655	LSM-3837
DB00655	LSM-5772
DB00655	LSM-6399
