drugbank_id	hmdb_id
DB00956	HMDB0015091
DB00957	HMDB0015092
DB00958	HMDB0000051
DB00958	HMDB0015093
DB00958	HMDB0041827
DB00959	HMDB0015094
DB00960	HMDB0015095
DB00961	HMDB0015096
DB00962	HMDB0015097
DB00963	HMDB0015098
DB00964	HMDB0015099
DB00966	HMDB0015101
DB00967	HMDB0015102
DB00968	HMDB0011754
DB00969	HMDB0015104
DB00970	HMDB0015105
DB00972	HMDB0015107
DB00974	HMDB0015109
DB00975	HMDB0015110
DB00977	HMDB0001926
DB00977	HMDB0061097
DB00978	HMDB0015113
DB00979	HMDB0015114
DB00980	HMDB0015115
DB00981	HMDB0015116
DB00982	HMDB0001852
DB00982	HMDB0002369
DB00982	HMDB0006219
DB00982	HMDB0012874
DB00983	HMDB0015118
DB00983	HMDB0015399
DB00984	HMDB0015119
DB00985	HMDB0001927
DB00986	HMDB0015121
DB00987	HMDB0000089
DB00987	HMDB0015122
DB00988	HMDB0000073
DB00989	HMDB0015124
DB00990	HMDB0015125
DB00991	HMDB0015126
DB00992	HMDB0015127
DB00993	HMDB0015128
DB00995	HMDB0004138
DB00995	HMDB0015130
DB00996	HMDB0005015
DB00997	HMDB0014588
DB00997	HMDB0015132
DB00998	HMDB0015133
DB00999	HMDB0001928
DB01000	HMDB0015135
DB01001	HMDB0001937
DB01002	HMDB0014442
DB01002	HMDB0015137
DB01003	HMDB0015138
DB01004	HMDB0015139
DB01005	HMDB0015140
DB01006	HMDB0015141
DB01007	HMDB0015142
DB01008	HMDB0015143
DB01009	HMDB0015144
DB01009	HMDB0041873
DB01010	HMDB0015145
DB01011	HMDB0015146
DB01012	HMDB0015147
DB01014	HMDB0015149
DB01015	HMDB0015150
DB01018	HMDB0015153
DB01019	HMDB0015154
DB01020	HMDB0015155
DB01021	HMDB0015156
DB01022	HMDB0003555
DB01022	HMDB0004198
DB01022	HMDB0015157
DB01023	HMDB0015158
DB01024	HMDB0015159
DB01025	HMDB0015160
DB01026	HMDB0012242
DB01028	HMDB0015162
DB01029	HMDB0015163
DB01030	HMDB0015164
DB01031	HMDB0015165
DB01033	HMDB0015167
DB01034	HMDB0015168
DB01035	HMDB0015169
DB01037	HMDB0015171
DB01041	HMDB0015175
DB01042	HMDB0015176
DB01043	HMDB0015177
DB01044	HMDB0015178
DB01045	HMDB0015179
DB01046	HMDB0015180
DB01047	HMDB0015181
DB01050	HMDB0001925
DB01051	HMDB0015185
DB01053	HMDB0015186
DB01054	HMDB0015187
DB01056	HMDB0015189
DB01057	HMDB0015190
DB01058	HMDB0015191
DB01059	HMDB0015192
DB01060	HMDB0015193
DB01061	HMDB0015194
DB01062	HMDB0015195
DB01063	HMDB0015196
DB01064	HMDB0015197
DB01066	HMDB0015199
DB01067	HMDB0015200
DB01068	HMDB0015201
DB01069	HMDB0015202
DB01070	HMDB0015203
DB01071	HMDB0015204
DB01072	HMDB0015205
DB01074	HMDB0015207
DB01075	HMDB0001927
DB01076	HMDB0005006
DB01077	HMDB0015210
DB01078	HMDB0015211
DB01080	HMDB0015212
DB01081	HMDB0015213
DB01082	HMDB0015214
DB01083	HMDB0015215
DB01084	HMDB0015216
DB01085	HMDB0015217
DB01086	HMDB0004992
DB01087	HMDB0015219
DB01089	HMDB0015221
DB01090	HMDB0015222
DB01091	HMDB0015223
DB01092	HMDB0015224
DB01092	HMDB0031448
DB01093	HMDB0002151
DB01094	HMDB0005782
DB01094	HMDB0030746
DB01096	HMDB0015228
DB01097	HMDB0015229
DB01099	HMDB0015231
DB01100	HMDB0015232
DB01101	HMDB0015233
DB01102	HMDB0015234
DB01103	HMDB0015235
DB01104	HMDB0005010
DB01105	HMDB0015237
DB01106	HMDB0015238
DB01107	HMDB0015239
DB01108	HMDB0015240
DB01110	HMDB0015242
DB01111	HMDB0015243
DB01112	HMDB0015244
DB01113	HMDB0015245
DB01114	HMDB0001944
DB01114	HMDB0240218
DB01115	HMDB0015247
DB01116	HMDB0015248
DB01117	HMDB0015249
DB01118	HMDB0015250
DB01119	HMDB0015251
DB01120	HMDB0015252
DB01121	HMDB0015253
DB01122	HMDB0015254
DB01123	HMDB0015255
