drugbank_id	chemicalbook_id
DB00748	CB4183800
DB00749	CB3216064
DB00750	CB2139212
DB00750	CB22510976
DB00750	CB8270843
DB00751	CB2230197
DB00751	CB2854847
DB00751	CB5197444
DB00751	CB8197445
DB00752	CB11427836
DB00752	CB2314310
DB00752	CB32745571
DB00752	CB52202234
DB00752	CB8926373
DB00752	CB9141768
DB00753	CB8437691
DB00755	CB11175476
DB00755	CB2386395
DB00755	CB3222630
DB00755	CB52511459
DB00755	CB6222631
DB00755	CB71365387
DB00756	CB8687902
DB00757	CB8341693
DB00758	CB0341208
DB00758	CB0505772
DB00758	CB1341210
DB00758	CB3341209
DB00758	CB3505773
DB00758	CB51876676
DB00759	CB1704886
DB00759	CB6153810
DB00760	CB0190233
DB00760	CB7459533
DB00761	CB0152361
DB00761	CB6403296
DB00761	CB9137176
DB00761	CB9403297
DB00762	CB1124156
DB00762	CB6122430
DB00762	CB8122429
DB00763	CB9220870
DB00765	CB2480716
DB00765	CB51511065
DB00765	CB6498278
DB00766	CB21373664
DB00766	CB2722502
DB00766	CB31458205
DB00766	CB52709399
DB00766	CB9722501
DB00770	CB4666097
DB00770	CB6141459
DB00770	CB6738909
DB00771	CB5419496
DB00773	CB22741804
DB00774	CB5416596
DB00775	CB0100160
DB00775	CB7506819
DB00775	CB9169083
DB00776	CB9238172
DB00778	CB1707342
DB00778	CB43164664
DB00779	CB1194283
DB00780	CB0434063
DB00780	CB1719066
DB00781	CB8666707
DB00782	CB6444482
DB00783	CB2200244
DB00783	CB7289534
DB00783	CB9131644
DB00784	CB53076674
DB00784	CB5472051
DB00786	CB31073538
DB00787	CB7126677
DB00788	CB0239095
DB00788	CB2753351
DB00788	CB8274937
DB00788	CB8422325
DB00789	CB5303977
DB00789	CB7305384
DB00790	CB1203112
DB00790	CB32694358
DB00790	CB4500876
DB00792	CB7126697
DB00793	CB4501419
DB00794	CB1161900
DB00795	CB0181156
DB00796	CB3209325
DB00797	CB2277815
DB00798	CB11456494
DB00798	CB2733991
DB00798	CB7308330
DB00799	CB7405439
DB00800	CB6729842
DB00803	CB8359485
DB00804	CB2285591
DB00806	CB5721652
