drugbank_id	pubchem_tpharma_id
DB00142	15297417
DB00142	15363722
DB00142	15412976
DB00142	15611273
DB00142	15995333
DB00142	16805562
DB00142	16918839
DB00142	99438947
DB00143	14752011
DB00143	14800769
DB00143	14849844
DB00143	14874094
DB00143	15594699
DB00143	15744887
DB00143	15975782
DB00143	16061344
DB00143	16450998
DB00143	46497536
DB00145	117683836
DB00145	14747327
DB00145	14891386
DB00145	16105054
DB00145	16177947
DB00145	16225859
DB00145	16410314
DB00145	16410317
DB00145	16495688
DB00145	85159150
DB00146	14781317
DB00146	14790891
DB00146	14928233
DB00146	15079671
DB00146	15377055
DB00146	15475725
DB00146	15906154
DB00146	16003101
DB00146	16027729
DB00146	16076604
DB00146	16186004
DB00146	16343569
DB00146	163501442
DB00146	16772320
DB00146	24703572
DB00146	56393460
DB00146	56451359
DB00146	74368684
DB00146	85167289
DB00146	87552992
DB00147	14785436
DB00147	14797555
DB00147	14943541
DB00147	15321824
DB00147	16093615
DB00147	16947979
DB00147	99208728
DB00148	15170675
DB00148	163621763
DB00149	14992016
DB00149	15041363
DB00149	15146625
DB00149	15170687
DB00149	15170689
DB00149	15170717
DB00149	15218991
DB00149	152229953
DB00149	15237770
DB00149	15242941
DB00149	15264860
DB00149	15297248
DB00149	15321393
DB00149	15339180
DB00149	15412847
DB00149	15437209
DB00149	15437224
DB00149	15437226
DB00149	15560813
DB00149	15686099
DB00149	15785765
DB00149	15860942
DB00149	15970700
DB00149	16093166
DB00149	16142109
DB00149	16250628
DB00149	16946555
DB00149	17496943
DB00149	99438942
DB00150	117697940
DB00150	117697941
DB00150	117697942
DB00150	14748760
DB00150	14916602
DB00150	14941072
DB00150	14969124
DB00150	15121062
DB00150	15195597
DB00150	15389906
DB00150	15414333
DB00150	15414382
DB00150	15638008
DB00150	16057793
DB00150	16131246
DB00151	14747569
DB00151	15119851
DB00151	15170599
DB00151	15194424
DB00151	15297167
DB00151	15388337
DB00151	15388354
DB00153	14903406
DB00153	14928009
DB00153	152232949
DB00153	15966166
DB00153	16064054
DB00153	16149459
DB00153	16232526
DB00153	16857468
DB00153	24435867
DB00153	87327801
DB00154	144218584
DB00154	14764601
DB00154	14801044
DB00154	14849827
DB00154	14924252
DB00154	16638920
DB00154	56260180
DB00155	103053876
DB00155	115949934
DB00155	117695146
DB00155	117697739
DB00155	117697740
DB00155	117697938
DB00155	117697939
DB00155	121271409
DB00155	121271410
DB00155	121271624
DB00155	14797727
DB00155	14906591
DB00155	15060696
DB00155	15195082
DB00155	15219582
DB00155	152256423
DB00155	160638493
DB00155	16214703
DB00155	16704735
DB00155	16935971
DB00155	56405617
DB00155	57584574
DB00155	57584575
DB00155	85249831
DB00155	96043499
DB00155	99438949
DB00156	103801199
DB00156	14747555
DB00156	15119834
DB00156	15194403
DB00156	15194404
DB00156	15218866
DB00156	15321263
DB00156	15511021
DB00156	15511024
DB00156	15611121
DB00156	15760710
DB00156	16876879
DB00158	14857129
DB00158	14930521
DB00158	15477856
DB00158	15578463
DB00158	16028504
DB00158	16077361
DB00158	16369084
DB00158	16528016
DB00158	16870013
DB00158	49755686
DB00159	104219788
DB00159	110272041
DB00159	113031922
DB00159	131467886
DB00159	134966681
DB00159	137281949
DB00159	143486320
DB00159	144117018
DB00159	144117020
DB00159	14764504
DB00159	14776226
DB00159	14777210
DB00159	14815058
DB00159	14849917
DB00159	14887342
DB00159	14911350
DB00159	14912342
DB00159	14913990
DB00159	14915632
DB00159	14939298
DB00159	152159737
DB00159	152231918
DB00159	15471349
DB00159	163437655
DB00159	163521794
DB00159	163557406
DB00159	163557407
DB00159	163557408
DB00159	16434351
DB00159	16580048
DB00159	16675366
DB00159	16798013
DB00159	16819819
