drugbank_id	nikkaji_id
DB00150	J2.300.622G
DB00150	J2.338.022F
DB00150	J2.420.733A
DB00150	J2.420.734J
DB00150	J2.486.289E
DB00150	J2.544.416G
DB00150	J2.602.171E
DB00150	J2.653.446A
DB00150	J2.707.824I
DB00150	J3.341.710A
DB00150	J3.516.926A
DB00150	J3.516.927J
DB00150	J3.516.928H
DB00150	J314.694D
DB00150	J338.339C
DB00150	J641.597K
DB00150	J651.557F
DB00150	J651.558D
DB00150	J9.181B
DB00150	J9.185E
DB00151	J1.123.463A
DB00151	J1.261.365B
DB00151	J1.261K
DB00151	J1.360.233F
DB00151	J1.707.933F
DB00151	J1.877.907B
DB00151	J1.877.916A
DB00151	J1.953.505C
DB00151	J2.222.906K
DB00151	J2.312.922A
DB00151	J2.513.844I
DB00151	J2.622.185D
DB00151	J2.629.700A
DB00151	J2.846.886E
DB00151	J274.620D
DB00151	J3.302.195J
DB00151	J3.302.196H
DB00151	J3.302.197F
DB00151	J3.498.672J
DB00151	J3.585.608K
DB00151	J634.568I
DB00151	J716.162J
DB00151	J9.167G
DB00151	J9.202I
DB00151	J993.090F
DB00152	J1.059.915F
DB00152	J2.089.490C
DB00152	J209.352I
DB00152	J3.338.084D
DB00153	J1.907K
DB00153	J2.880.772D
DB00153	J3.429.168C
DB00154	J110.768B
DB00154	J486.391G
DB00154	J833.201K
DB00154	J986.594B
DB00155	J138.613A
DB00155	J185.648K
DB00155	J231.768K
DB00155	J3.054.119G
DB00155	J3.420.778J
DB00155	J5.711H
DB00156	J1.252A
DB00156	J1.320J
DB00156	J1.327G
DB00156	J1.428.362E
DB00156	J1.428.363C
DB00156	J1.754.265F
DB00156	J2.233.313E
DB00156	J2.338.017J
DB00156	J2.587.562A
DB00156	J21.883I
DB00156	J3.152.784H
DB00156	J9.180D
DB00158	J1.107.430H
DB00158	J1.124.616H
DB00158	J1.124.619B
DB00158	J1.392G
DB00158	J1.784.642F
DB00158	J1.800.739H
DB00158	J2.193.794K
DB00159	J2.362.980A
DB00159	J2.362.981J
DB00159	J2.362.982H
DB00159	J2.362.983F
DB00159	J322.535F
DB00159	J343.473G
DB00159	J712.015J
DB00159	J986.596I
DB00160	J1.095.184D
DB00160	J1.163.881C
DB00160	J1.229.699A
DB00160	J1.276I
DB00160	J1.312.821I
DB00160	J1.573.252K
DB00160	J1.589.987E
DB00160	J1.589.988C
DB00160	J1.599.682J
DB00160	J1.684.764J
DB00160	J1.778.817E
DB00160	J1.778.818C
DB00160	J1.802.569H
DB00160	J1.802.570A
DB00160	J1.864.712E
DB00160	J1.953.504E
DB00160	J2.036.197B
DB00160	J2.049.602I
DB00160	J2.049.603G
DB00160	J2.102.334E
DB00160	J2.102.335C
DB00160	J2.188.276C
DB00160	J2.188.277A
DB00160	J2.227.524K
DB00160	J2.246.037D
DB00160	J2.345.539K
DB00160	J2.345.887J
DB00160	J2.404.390H
DB00160	J2.404.951E
DB00160	J2.629.701J
DB00160	J2.796.580F
DB00160	J2.849.038K
DB00160	J3.013.518K
DB00160	J3.280.449G
DB00160	J3.349.094A
DB00160	J3.661.342D
DB00160	J366.314K
DB00160	J437.070H
DB00160	J698.280H
DB00160	J768.235B
DB00160	J867.374H
DB00160	J9.168E
DB00160	J9.190A
DB00160	J947.166I
DB00160	J962.224A
DB00161	J1.282C
DB00161	J1.428.356K
DB00161	J1.428.357I
DB00161	J1.428.361G
DB00161	J1.428.364A
DB00161	J1.428.365J
DB00161	J1.477.799G
DB00161	J1.780.628I
DB00161	J1.974.169I
DB00161	J1.992.805E
DB00161	J2.011.336G
DB00161	J2.064.893G
DB00161	J2.188.282H
DB00161	J2.188.283F
DB00161	J2.235.559G
DB00161	J2.246.038B
DB00161	J2.367.402E
DB00161	J366.494E
DB00161	J377.961K
DB00161	J9.179K
DB00161	J9.198G
DB00161	J921.804A
DB00162	J1.321.771H
DB00162	J1.321.774B
DB00162	J1.321.775K
DB00162	J1.417F
DB00162	J2.357.813A
DB00162	J2.357.815H
DB00162	J490.500H
DB00162	J540.270K
DB00162	J641.040E
DB00162	J641.433H
DB00162	J641.434F
DB00162	J641.435D
DB00162	J641.436B
DB00163	J1.230.120K
DB00163	J1.990.768F
DB00163	J1.990.769D
DB00163	J1.990.770H
DB00163	J2.141.450F
DB00163	J2.436.441K
DB00163	J2.436.442I
DB00163	J2.436.443G
DB00163	J2.788.607H
DB00163	J231.847D
DB00163	J24.260H
DB00163	J24.789H
DB00163	J367.420G
DB00163	J476.911B
DB00163	J529.410J
DB00163	J529.411H
DB00163	J529.412F
DB00163	J529.413D
DB00165	J2.095.349G
DB00165	J2.356F
DB00165	J3.021.619I
DB00166	J1.695.521C
DB00166	J231.967E
DB00166	J38.321J
DB00166	J9.331I
DB00167	J1.239D
DB00167	J1.240H
DB00167	J1.283A
DB00167	J1.428.358G
DB00167	J1.428.359E
DB00167	J1.428.360I
DB00167	J1.445.951K
DB00167	J1.538.922B
DB00167	J1.648.268D
DB00167	J1.974.168K
DB00167	J2.122.451K
DB00167	J2.122.452I
DB00167	J2.246.040D
DB00167	J2.338.006D
DB00167	J2.604.213E
DB00167	J2.818E
DB00167	J2.999.765I
DB00167	J3.318.417D
DB00167	J715.058J
DB00167	J715.059H
DB00167	J715.060A
DB00167	J715.061J
DB00167	J755.255F
DB00167	J755.256D
DB00167	J880.293I
DB00167	J9.187A
DB00169	J1.089.289I
DB00169	J1.129.567C
DB00169	J1.352.050J
DB00169	J1.741.823H
DB00169	J1.741.825D
DB00169	J1.758.178C
DB00169	J2.023.112B
DB00169	J2.367A
DB00170	J1.840.881C
DB00170	J2.070.419E
DB00170	J2.070.420I
DB00170	J4.591H
DB00171	J10.680A
DB00171	J2.006.398J
DB00171	J3.502.432H
DB00171	J370.429G
DB00171	J370.430K
DB00171	J413.564D
DB00171	J519.120C
DB00171	J846.211I
DB00171	J846.212G
DB00172	J1.004.903B
DB00172	J1.004.906G
DB00172	J1.098.967A
DB00172	J1.098.969H
DB00172	J1.154.004J
DB00172	J1.248.482H
DB00172	J1.287D
DB00172	J1.617.732F
DB00172	J1.698.243A
DB00172	J1.925.309K
DB00172	J2.188.279H
DB00172	J2.188.280A
DB00172	J2.320.560B
DB00172	J2.320.561K
DB00172	J2.320.562I
DB00172	J2.320.565C
DB00172	J2.338.015C
DB00172	J2.546.905D
DB00172	J2.695.120H
DB00172	J2.859.308B
DB00172	J3.235.687G
DB00172	J3.404.068K
DB00172	J3.630.756K
DB00172	J366.927K
DB00172	J439.704E
DB00172	J882.750H
DB00172	J882.751F
DB00172	J9.117K
DB00172	J9.118I
DB00173	J1.069.337C
DB00173	J1.099.500K
DB00173	J1.194.866I
DB00173	J1.194.871E
DB00173	J1.601.563F
DB00173	J1.601.564D
DB00173	J1.601.565B
DB00173	J1.652.599E
DB00173	J1.652.600B
DB00173	J1.652.601K
DB00173	J1.783.898I
DB00173	J1.892.467F
DB00173	J1.892.468D
DB00173	J2.309.767B
DB00173	J2.947.560A
DB00173	J3.064.110H
DB00173	J3.242.847I
DB00173	J361.563D
DB00173	J5.257D
DB00174	J1.289K
DB00174	J1.537.523J
DB00174	J3.410.524C
DB00174	J640.842G
DB00174	J640.843E
DB00174	J9.178B
DB00174	J9.207J
DB00175	J139.432K
DB00175	J2.501.703J
DB00175	J227.579A
DB00175	J243.084C
DB00175	J448.313H
DB00176	J1.245.131H
DB00176	J11.936I
DB00176	J453.182E
DB00177	J550.722G
DB00177	J788.652G
DB00178	J1.380.335H
DB00178	J1.380.336F
DB00178	J1.380.337D
DB00178	J1.380.338B
DB00178	J22.246A
DB00179	J1.561.206A
DB00179	J257.424A
DB00179	J9.195B
DB00180	J3.402I
DB00181	J3.661G
DB00181	J347.042C
DB00181	J374.504J
DB00182	J171.201B
DB00182	J171.202K
DB00182	J2.157.154G
DB00182	J2.157.155E
DB00182	J28.384C
DB00182	J4.121A
DB00182	J473.096H
DB00182	J74.925G
DB00182	J9.368H
DB00183	J1.340.327I
DB00183	J3.414B
DB00183	J963.152F
DB00183	J963.154B
DB00183	J963.163A
DB00183	J963.165H
DB00184	J1.016.152E
DB00184	J1.099.706B
DB00184	J1.808.087G
DB00184	J1.972.794G
DB00184	J2.220.461K
DB00184	J2.509.681I
DB00184	J23.948H
DB00184	J3.344.715I
DB00184	J358.868H
DB00184	J464.464F
DB00184	J9.266E
DB00185	J221.667A
DB00185	J221.668J
DB00185	J375.901F
DB00185	J375.902D
DB00185	J621.334K
DB00186	J3.337E
DB00186	J434.769B
DB00186	J434.770F
DB00187	J1.652.992C
DB00187	J1.652.993A
DB00187	J32.840E
DB00188	J1.066.189G
DB00188	J1.361.671J
DB00188	J1.921.292K
DB00188	J3.646.586G
DB00188	J3.646.587E
DB00189	J5.130F
DB00190	J17.160C
DB00190	J2.205.974B
DB00190	J27.602B
DB00191	J2.828.656B
DB00191	J5.348A
DB00192	J32.491D
DB00193	J238.351I
DB00193	J28.136K
DB00193	J354.350A
DB00193	J354.351J
DB00193	J48.558F
DB00194	J1.039.895I
DB00194	J1.069.334I
DB00194	J1.084.705B
DB00194	J1.160.969D
DB00194	J1.169.531K
DB00194	J1.235.915B
DB00194	J1.235.916K
DB00194	J1.622.272K
DB00194	J1.622.273I
DB00194	J1.634.141J
DB00194	J1.976.492C
DB00194	J112.390D
DB00194	J2.019.171F
DB00194	J2.157.963G
DB00194	J2.266.101I
DB00194	J263.919J
DB00194	J3.132.513G
DB00194	J3.415K
DB00194	J352.461B
DB00194	J36.204B
DB00194	J361.559F
DB00194	J4.501B
DB00194	J602.639G
DB00194	J645.198E
DB00194	J79.901G
DB00194	J853.839E
DB00194	J953.152A
DB00194	J953.153J
DB00194	J965.911K
DB00194	J965.913G
DB00195	J19.271F
DB00195	J387.170C
DB00195	J491.311F
DB00196	J23.677B
DB00197	J404.601C
DB00197	J404.602A
DB00197	J549.469I
DB00197	J549.470B
DB00197	J844.603B
DB00197	J844.604K
DB00197	J996.467C
DB00198	J2.586.367D
DB00198	J3.617.685G
DB00198	J3.617.686E
DB00198	J3.617.687C
DB00198	J871.765F
DB00199	J1.371.264F
DB00199	J2.026.121H
DB00199	J2.892D
DB00199	J549.745K
DB00200	J135.235K
DB00200	J135.236I
DB00200	J135.237G
DB00200	J2.261.720F
DB00200	J209.359F
DB00200	J298.851H
DB00200	J298.852F
DB00200	J43.587B
DB00200	J605.528A
DB00200	J643.936E
DB00200	J643.937C
DB00200	J95.184F
DB00201	J1.555.636F
DB00201	J2.073.412D
DB00201	J2.330B
DB00201	J580.359D
DB00202	J11.690D
DB00203	J897.167F
DB00204	J291.759I
DB00205	J4.589F
DB00206	J1.233.096K
DB00206	J1.233.097I
DB00206	J1.359E
DB00206	J125.604A
DB00206	J2.572.424K
DB00206	J23.906B
DB00206	J3.179.076J
DB00207	J134.080H
DB00207	J908.852K
DB00208	J11.390E
DB00209	J2.058.130A
DB00209	J247.002K
DB00210	J399.566F
DB00211	J16.460G
DB00212	J419.436E
DB00212	J523.480H
DB00213	J324.079G
DB00213	J330.333K
DB00214	J11.135J
DB00215	J18.081E
DB00215	J819.065H
DB00215	J819.066F
DB00216	J979.643F
DB00217	J4.563B
DB00218	J1.495.215B
DB00219	J1.896.645J
DB00219	J14.039B
DB00219	J2.207.941G
DB00220	J1.285.966J
DB00220	J1.642.472B
DB00220	J2.272.027I
DB00220	J709.859F
DB00221	J338.745C
DB00221	J338.746A
DB00221	J6.696F
DB00222	J3.204.182E
DB00222	J35.096F
DB00223	J268.354G
DB00223	J7.332F
DB00223	J7.614G
DB00224	J1.188.993J
DB00224	J2.138.063F
DB00224	J3.499.063H
DB00224	J566.361J
DB00224	J814.344G
DB00225	J2.174.494H
DB00225	J374.426D
DB00225	J615.848J
DB00226	J16.514J
DB00227	J22.276C
DB00227	J673.769B
DB00227	J895.432A
DB00228	J3.127E
DB00228	J712.929G
DB00228	J712.930K
DB00229	J18.083A
DB00229	J26.418K
DB00230	J258.872B
DB00230	J423.976H
DB00230	J702.547E
DB00230	J866.310F
DB00231	J513.261D
DB00231	J513.262B
DB00231	J7.138B
DB00232	J5.603K
DB00233	J1.070.539H
DB00233	J4.838K
DB00234	J569.655K
DB00234	J569.656I
DB00234	J570.349B
DB00234	J570.350F
DB00235	J2.877.873B
DB00235	J2.877.874K
DB00235	J23.655A
DB00236	J4.157B
DB00237	J5.371F
DB00237	J9.745D
DB00238	J420.601K
DB00239	J19.579K
DB00240	J18.598A
DB00241	J4.555A
DB00242	J1.185.455I
DB00242	J1.185.458C
DB00242	J2.908.553F
DB00242	J446.344G
DB00242	J585.326E
DB00243	J3.066.456F
DB00243	J505.258K
DB00243	J505.259I
DB00244	J1.070.541J
DB00244	J26.977H
DB00244	J26.979D
DB00244	J32.511B
DB00244	J936.102B
DB00245	J23.933J
DB00245	J232.148C
DB00245	J4.933F
DB00246	J553.147K
DB00247	J2.160.817C
DB00247	J76.430B
DB00247	J9.230D
DB00248	J134.029H
DB00249	J2.198.550C
DB00249	J2.210.053J
DB00249	J2.210.079C
DB00249	J2.210.089K
DB00249	J4.490C
DB00249	J421.063H
DB00249	J670.135C
DB00250	J1.853.894F
DB00250	J2.127.096B
DB00250	J2.127.098I
DB00250	J4.247A
DB00251	J283.070A
DB00251	J283.071J
DB00252	J1.000.967G
DB00252	J2.325F
DB00252	J366.972F
DB00252	J402.912G
DB00252	J402.913E
DB00253	J7.644I
DB00254	J1.388.301G
DB00254	J264.914D
DB00254	J3.096.289C
DB00254	J6.511K
DB00254	J762.292I
