drugbank_id	lipidmaps_id
DB03882	LMST02020053
DB03882	LMST02020077
DB03882	LMST02020078
DB03882	LMST02020080
DB03882	LMST02020093
DB03882	LMST02020096
DB03915	LMFA01060172
DB03923	LMFA07050268
DB03926	LMST02020052
DB03926	LMST02020053
DB03926	LMST02020077
DB03926	LMST02020078
DB03926	LMST02020080
DB03926	LMST02020093
DB03926	LMST02020096
DB03929	LMFA01100045
DB03979	LMGP04010990
DB03993	LMFA01020076
DB04038	LMST01030093
DB04039	LMFA01060103
DB04045	LMFA07050152
DB04045	LMFA07050164
DB04070	LMPK04000002
DB04072	LMFA01050444
DB04074	LMFA01020274
DB04079	LMFA05000549
DB04079	LMFA05000665
DB04093	LMFA06000064
DB04177	LMST01120001
DB04178	LMGP01010006
DB04183	LMFA01170118
DB04185	LMFA01100041
DB04202	LMPK12050039
DB04216	LMPK12110004
DB04224	LMFA01030002
DB04224	LMFA01030073
DB04257	LMFA01030056
DB04257	LMFA01030057
DB04258	LMST03020449
DB04258	LMST03020642
DB04274	LMPK12140018
DB04297	LMPK01000055
DB04327	LMGP02010097
DB04348	LMST05040001
DB04348	LMST05040014
DB04348	LMST05040016
DB04348	LMST05040019
DB04364	LMFA12000020
DB04364	LMFA12000064
DB04372	LMGP01010937
DB04376	LMPR0104330003
DB04419	LMFA01100042
DB04454	LMFA01100034
DB04454	LMFA01100043
DB04501	LMPR0102120000
DB04519	LMFA01010008
DB04524	LMFA07050345
DB04540	LMST01010001
DB04540	LMST01010081
DB04553	LMFA01060002
DB04557	LMFA01030001
DB04557	LMFA01030393
DB04557	LMFA01030817
DB04573	LMST02010003
DB04573	LMST02010006
DB04573	LMST02010045
DB04573	LMST02010049
DB04574	LMST02010043
DB04575	LMST02010037
DB04630	LMST02030026
DB04652	LMST02030186
DB04661	LMSP06020015
DB04680	LMFA13010150
DB04683	LMGP04010881
DB04699	LMFA07040004
DB04703	LMPK12140451
DB04704	LMST01010134
DB04704	LMST01010201
DB04704	LMST01010211
DB04705	LMST01010018
DB04706	LMST01010013
DB04706	LMST01010047
DB04714	LMPR01010008
DB04734	LMFA01170099
DB04734	LMFA01170116
DB04746	LMFA01030124
DB04746	LMFA01030125
DB04746	LMFA01030126
DB04746	LMFA01031059
DB04747	LMFA01030777
DB04780	LMSP06020014
DB04781	LMFA01050010
DB04796	LMST03020645
DB04796	LMST03020649
DB04801	LMFA01030076
DB04801	LMFA01030077
DB04891	LMST03020650
DB04996	LMFA01010002
DB05013	LMFA07010911
DB05295	LMST03020477
DB05295	LMST03020478
DB05295	LMST03020675
DB05296	LMFA01010002
DB05428	LMFA01010002
DB05450	LMST01080005
DB05450	LMST01080007
DB05450	LMST01080009
DB05450	LMST01080019
DB05456	LMGP01010884
DB05732	LMFA01170041
