drugbank_id	actor_id
DB00257	77124-28-8
DB00257	82571-54-8
DB00257	90155-19-4
DB00257	92522-91-3
DB00258	1112-02-3
DB00258	1186-52-3
DB00258	14127-61-8
DB00258	157090-22-7
DB00258	17787-72-3
DB00258	18637-06-4
DB00258	62-54-4
DB00258	64-19-7
DB00258	68307-87-9
DB00258	68475-71-8
DB00258	71-50-1
DB00258	758-12-3
DB00258	79893-89-3
DB00259	102489-34-9
DB00259	63-74-1
DB00260	339-72-0
DB00260	68-39-3
DB00260	68-41-7
DB00262	154-93-8
DB00262	59099-88-6
DB00263	127-69-5
DB00263	4299-60-9
DB00263	51404-58-1
DB00263	83047-45-4
DB00264	111337-50-9
DB00264	119637-66-0
DB00264	37350-58-6
DB00264	51384-51-1
DB00264	55250-54-9
DB00264	56392-17-7
DB00264	56392-18-8
DB00264	79985-31-2
DB00264	81024-42-2
DB00264	81024-43-3
DB00264	98418-47-4
DB00265	483-63-6
DB00266	66-76-2
DB00267	65085-01-0
DB00267	75738-58-8
DB00268	91374-20-8
DB00268	91374-21-9
DB00269	569-57-3
DB00270	75695-93-1
DB00270	84260-64-0
DB00270	88977-22-4
DB00271	102341-28-6
DB00271	117-96-4
DB00271	131-49-7
DB00271	14855-77-7
DB00271	50978-11-5
DB00271	737-31-5
DB00271	77035-55-3
DB00271	78371-64-9
DB00271	8064-12-8
DB00272	105-20-4
DB00272	138-92-1
DB00273	97240-79-4
DB00274	56796-20-4
DB00274	56796-39-5
DB00275	144689-24-7
DB00276	51264-14-3
DB00276	54301-15-4
DB00276	54301-16-5
DB00276	80277-07-2
DB00276	80277-11-8
DB00276	80277-14-1
DB00277	111079-49-3
DB00278	121785-71-5
DB00278	141396-28-3
DB00278	74863-84-6
DB00279	15785-49-6
DB00279	20196-64-9
DB00279	24359-14-6
DB00279	3130-96-9
DB00279	39388-33-5
DB00279	41670-36-4
DB00279	55-06-1
DB00279	5714-08-9
DB00279	57164-27-9
DB00279	6138-47-2
DB00279	6893-02-3
DB00279	8065-29-0
DB00279	85101-00-4
DB00280	22059-60-5
DB00280	3737-09-5
DB00280	54687-36-4
DB00280	74464-83-8
DB00280	74464-84-9
DB00281	137-58-6
DB00281	851528-09-1
DB00282	109552-15-0
DB00282	40391-99-9
DB00282	57248-88-1
DB00282	80549-01-5
DB00283	14976-57-9
DB00283	15686-51-8
DB00283	39471-18-6
DB00283	51621-87-5
DB00283	76207-52-8
DB00285	93413-69-5
DB00285	99300-78-4
DB00287	157283-68-6
DB00288	51022-69-6
DB00289	82248-59-7
DB00289	83015-26-3
DB00290	11056-06-7
DB00290	49830-49-1
DB00290	62624-79-7
DB00290	67763-87-5
DB00291	1030-06-4
DB00291	305-03-3
DB00291	3308-26-7
DB00292	10573-22-5
DB00292	15301-65-2
DB00292	33125-97-2
DB00292	51919-80-3
DB00292	53188-20-8
DB00293	112887-68-0
DB00294	131562-74-8
DB00294	165050-21-5
DB00294	54048-10-1
DB00296	132112-35-7
DB00296	684647-62-9
DB00296	84057-95-4
DB00296	98717-15-8
DB00297	15233-43-9
DB00297	18010-40-7
DB00297	2180-92-9
DB00297	27262-45-9
DB00297	27262-46-0
DB00297	27262-47-1
DB00297	27262-48-2
DB00297	38396-39-3
DB00297	66558-79-0
DB00298	72822-12-9
DB00299	39809-25-1
DB00300	201341-05-1
DB00300	202138-50-9
DB00300	731772-45-5
DB00300	731772-50-2
DB00301	1847-24-1
DB00301	34214-51-2
DB00301	5250-39-5
DB00301	79806-18-1
DB00302	1197-17-7
DB00302	1197-18-8
DB00302	701-54-2
DB00303	153773-82-1
DB00303	153832-38-3
DB00303	153832-46-3
DB00304	54024-22-5
DB00304	71138-35-7
DB00305	1404-00-8
DB00305	144085-53-0
DB00305	50-07-7
DB00306	115-44-6
DB00306	24396-96-1
DB00307	153559-49-0
DB00308	122647-31-8
DB00308	122647-32-9
DB00308	136591-56-5
DB00308	136591-58-7
DB00309	53643-48-4
DB00309	59917-39-4
DB00310	376634-05-8
DB00310	73677-19-7
DB00310	77-36-1
DB00310	80434-87-3
DB00310	8058-25-1
DB00310	8067-84-3
DB00310	90992-24-8
DB00310	93281-22-2
DB00311	452-35-7
DB00311	8059-60-7
DB00312	5767-32-8
DB00312	76-74-4
DB00313	87745-18-4
DB00313	99-66-1
DB00314	11003-38-6
DB00314	1405-37-4
DB00314	33490-33-4
DB00314	37280-35-6
DB00316	103-90-2
DB00316	60902-28-5
DB00316	64315-36-2
DB00317	184475-35-2
DB00317	857091-32-8
DB00319	123683-33-0
DB00319	157044-21-8
DB00319	59703-84-3
DB00319	61477-96-1
DB00319	66258-76-2
DB00320	1381-02-8
DB00320	511-12-6
DB00320	52623-83-3
DB00320	5989-77-5
DB00320	76515-02-1
DB00320	79084-81-4
DB00320	81643-69-8
DB00321	17086-03-2
DB00321	50-48-6
DB00321	51248-68-1
DB00321	51602-26-7
DB00321	549-18-8
DB00321	8015-22-3
DB00321	93803-80-6
DB00322	2968-28-7
DB00322	50-91-9
DB00322	955-24-8
DB00323	134308-13-7
DB00324	426-13-1
DB00325	13755-38-9
DB00325	14452-93-8
DB00325	14649-69-5
DB00325	31811-86-6
DB00325	31811-87-7
DB00325	32611-01-1
DB00325	32824-72-9
DB00325	53683-99-1
DB00325	56861-28-0
DB00327	18145-12-5
DB00327	466-99-9
DB00327	71-68-1
DB00328	37242-43-6
DB00328	53-86-1
DB00330	74-55-5
DB00331	657-24-9
DB00332	115112-73-7
DB00332	22254-24-6
DB00332	438627-66-8
DB00332	60205-81-4
DB00332	66985-17-9
DB00333	1095-90-5
DB00333	125-56-4
DB00333	125-58-6
DB00333	15284-15-8
DB00333	19767-48-7
DB00333	23142-53-2
DB00333	297-88-1
DB00333	40580-77-6
DB00333	5653-80-5
DB00333	5967-73-7
DB00333	76-99-3
DB00334	132539-06-1
DB00335	126294-31-3
DB00335	29122-68-7
DB00335	51706-40-2
DB00335	52816-02-1
DB00335	56715-13-0
DB00335	60966-51-0
DB00335	73677-19-7
DB00335	81346-72-7
DB00335	93379-54-5
DB00336	59-87-0
DB00336	62476-74-8
DB00337	137071-32-0
DB00339	98-96-4
DB00340	115511-20-1
DB00340	1553-34-0
DB00340	4969-02-2
DB00340	7081-40-5
DB00340	96106-76-2
DB00341	130018-77-8
DB00341	130018-87-0
DB00341	83881-50-9
DB00341	83881-51-0
DB00341	83881-52-1
DB00342	123245-78-3
DB00342	50679-08-8
DB00343	112259-41-3
DB00343	144604-00-2
DB00343	23515-59-5
DB00343	31953-18-1
DB00343	33232-39-2
DB00343	33286-22-5
DB00343	34933-06-7
DB00343	42399-41-7
DB00343	42399-54-2
DB00343	56209-45-1
DB00344	1225-55-4
DB00344	438-60-8
DB00345	61-78-9
DB00345	94-16-6
DB00346	128707-53-9
DB00346	133880-44-1
DB00346	81403-68-1
DB00346	81403-80-7
DB00347	127-48-0
DB00347	72027-60-2
DB00348	104206-65-7
DB00349	22316-47-8
DB00349	75963-47-2
DB00350	38304-91-5
DB00351	51154-23-5
DB00351	595-33-5
DB00352	154-42-7
DB00352	69203-91-4
DB00353	113-42-8
DB00353	20313-98-8
DB00354	129-74-8
DB00354	78168-90-8
DB00354	82-95-1
DB00354	93963-66-7
DB00355	78110-38-0
DB00355	80581-85-7
DB00355	80581-86-8
DB00355	80581-95-9
DB00355	827021-54-5
DB00355	827611-49-4
DB00355	85506-30-5
DB00356	32850-84-3
DB00357	125-84-8
DB00357	13256-45-6
DB00357	23734-88-5
DB00357	55511-44-9
DB00357	57344-88-4
DB00357	65036-44-4
DB00357	67029-87-2
DB00358	49752-90-1
DB00358	51688-68-7
DB00358	51742-87-1
DB00358	51744-84-4
DB00358	51744-85-5
DB00358	51773-92-3
DB00358	53230-10-7
DB00358	69191-18-0
DB00359	12712-96-8
DB00359	141582-64-1
DB00359	39474-58-3
DB00359	547-32-0
DB00359	58098-08-1
DB00359	68-35-9
DB00359	73173-12-3
DB00359	76902-28-8
DB00359	79028-52-7
DB00359	812-13-5
DB00360	17528-72-2
DB00360	62989-33-7
DB00360	69056-38-8
DB00361	125317-39-7
DB00361	71486-22-1
DB00362	166663-25-8
DB00363	5786-21-0
DB00364	13587-54-7
DB00364	13670-17-2
DB00364	13968-08-6
DB00364	13968-48-4
DB00364	13982-43-9
DB00364	14280-30-9
DB00364	14314-42-2
DB00364	14337-01-0
DB00364	14797-71-8
DB00364	14940-63-7
DB00364	14940-65-9
DB00364	156428-50-1
DB00364	17778-80-2
DB00364	22537-23-1
DB00364	24286-21-3
DB00364	3352-57-6
DB00364	54182-58-0
DB00364	558440-22-5
DB00364	56583-62-1
DB00364	76578-81-9
DB00364	7732-18-5
DB00364	7789-20-0
DB00365	119914-60-2
DB00365	161967-81-3
DB00366	100216-57-7
DB00366	469-21-6
DB00366	562-10-7
DB00366	76157-57-8
DB00366	79953-81-4
DB00366	99007-20-2
DB00367	110541-57-6
DB00367	121714-72-5
DB00367	150200-16-1
DB00367	6533-00-2
DB00367	65394-89-0
DB00367	70208-30-9
DB00367	797-63-7
DB00367	797-64-8
DB00367	8056-51-7
DB00367	88873-29-4
DB00368	108341-18-0
DB00368	138-65-8
DB00368	149-95-1
DB00368	18332-51-9
DB00368	2477-42-1
DB00368	329-56-6
DB00368	3414-63-9
DB00368	3458-94-4
DB00368	4899-05-2
DB00368	51-40-1
DB00368	51-41-2
DB00368	55-27-6
DB00368	69815-49-2
DB00368	71827-07-1
DB00369	113852-37-2
DB00369	120362-37-0
DB00369	149394-66-1
DB00370	61337-67-5
DB00370	61337-87-9
DB00370	61364-37-2
DB00370	680993-85-5
DB00370	85650-52-8
DB00371	51848-48-7
DB00371	57-53-4
DB00371	69453-66-3
DB00371	76404-04-1
DB00371	78393-41-6
DB00371	8056-21-1
DB00371	81246-67-5
DB00371	81424-60-4
DB00372	1179-69-7
DB00372	1420-55-9
DB00372	4627-00-3
DB00372	52239-63-1
DB00373	131628-37-0
DB00373	26839-75-8
DB00373	26839-76-9
DB00373	26839-77-0
DB00373	26921-17-5
DB00373	29023-48-1
DB00373	47148-57-2
DB00373	50929-98-1
DB00373	57073-55-9
DB00373	60469-65-0
