drugbank_id	surechembl_id
DB00114	SCHEMBL5671724
DB00114	SCHEMBL5713460
DB00114	SCHEMBL6342679
DB00114	SCHEMBL6725637
DB00114	SCHEMBL6725640
DB00114	SCHEMBL6926122
DB00114	SCHEMBL791423
DB00114	SCHEMBL8013911
DB00114	SCHEMBL8024974
DB00114	SCHEMBL827100
DB00114	SCHEMBL8365324
DB00114	SCHEMBL8740678
DB00114	SCHEMBL8907837
DB00114	SCHEMBL9350949
DB00114	SCHEMBL9834164
DB00115	SCHEMBL10983327
DB00115	SCHEMBL4499
DB00115	SCHEMBL495
DB00115	SCHEMBL8722670
DB00115	SCHEMBL9003261
DB00116	SCHEMBL10358930
DB00116	SCHEMBL10358931
DB00116	SCHEMBL1069545
DB00116	SCHEMBL11116571
DB00116	SCHEMBL12806286
DB00116	SCHEMBL16487484
DB00116	SCHEMBL17512194
DB00116	SCHEMBL18703989
DB00116	SCHEMBL1878687
DB00116	SCHEMBL1884731
DB00116	SCHEMBL1885656
DB00116	SCHEMBL1890563
DB00116	SCHEMBL19376762
DB00116	SCHEMBL19376763
DB00116	SCHEMBL19376767
DB00116	SCHEMBL19376768
DB00116	SCHEMBL19376769
DB00116	SCHEMBL19376770
DB00116	SCHEMBL19376771
DB00116	SCHEMBL19990354
DB00116	SCHEMBL20769785
DB00116	SCHEMBL21248572
DB00116	SCHEMBL21248573
DB00116	SCHEMBL21248600
DB00116	SCHEMBL21248602
DB00116	SCHEMBL21611790
DB00116	SCHEMBL2290072
DB00116	SCHEMBL258530
DB00116	SCHEMBL2691812
DB00116	SCHEMBL2931999
DB00116	SCHEMBL3396262
DB00116	SCHEMBL3399382
DB00116	SCHEMBL3404283
DB00116	SCHEMBL3404292
DB00116	SCHEMBL3445556
DB00116	SCHEMBL4186286
DB00116	SCHEMBL4280854
DB00116	SCHEMBL4409552
DB00116	SCHEMBL4455046
DB00116	SCHEMBL4542425
DB00116	SCHEMBL4612351
DB00116	SCHEMBL4628326
DB00116	SCHEMBL48943
DB00116	SCHEMBL48944
DB00116	SCHEMBL5691211
DB00116	SCHEMBL6398656
DB00116	SCHEMBL6399547
DB00116	SCHEMBL6655439
DB00116	SCHEMBL6880950
DB00116	SCHEMBL8030
DB00116	SCHEMBL8031
DB00116	SCHEMBL8078001
DB00116	SCHEMBL8078004
DB00116	SCHEMBL82453
DB00116	SCHEMBL8375189
DB00116	SCHEMBL8375309
DB00116	SCHEMBL8694082
DB00116	SCHEMBL9150211
DB00116	SCHEMBL9150219
DB00116	SCHEMBL9169795
DB00116	SCHEMBL9170434
DB00116	SCHEMBL9170627
DB00116	SCHEMBL9171529
DB00116	SCHEMBL9174357
DB00116	SCHEMBL9177351
DB00116	SCHEMBL9431200
DB00116	SCHEMBL9486186
DB00117	SCHEMBL12757148
DB00117	SCHEMBL13318944
DB00117	SCHEMBL16745721
DB00117	SCHEMBL16945365
DB00117	SCHEMBL19261436
DB00117	SCHEMBL3258
DB00117	SCHEMBL3259
DB00117	SCHEMBL3439701
DB00117	SCHEMBL4223168
DB00117	SCHEMBL59365
DB00118	SCHEMBL1006917
DB00118	SCHEMBL10400453
DB00118	SCHEMBL10594106
DB00118	SCHEMBL1228179
DB00118	SCHEMBL1229862
DB00118	SCHEMBL1300198
DB00118	SCHEMBL1300205
DB00118	SCHEMBL13033865
DB00118	SCHEMBL19253569
DB00118	SCHEMBL19549211
DB00118	SCHEMBL1980696
DB00118	SCHEMBL1980697
DB00118	SCHEMBL2007787
DB00118	SCHEMBL2026386
DB00118	SCHEMBL25176
DB00118	SCHEMBL25177
DB00118	SCHEMBL2714468
DB00118	SCHEMBL3071200
DB00118	SCHEMBL3202538
DB00118	SCHEMBL3208346
DB00118	SCHEMBL3208360
DB00118	SCHEMBL3229444
DB00118	SCHEMBL3685223
DB00118	SCHEMBL4019679
DB00118	SCHEMBL4164615
DB00118	SCHEMBL439494
DB00118	SCHEMBL439495
DB00118	SCHEMBL4747876
DB00118	SCHEMBL4747883
DB00118	SCHEMBL5417134
DB00118	SCHEMBL5463109
DB00118	SCHEMBL5465751
DB00118	SCHEMBL55479
DB00118	SCHEMBL59293
DB00118	SCHEMBL599664
DB00118	SCHEMBL600368
DB00118	SCHEMBL6515296
DB00118	SCHEMBL66767
DB00118	SCHEMBL6824542
DB00118	SCHEMBL7180617
DB00118	SCHEMBL7180643
DB00118	SCHEMBL7187491
DB00118	SCHEMBL7187726
DB00118	SCHEMBL7190215
DB00118	SCHEMBL7191515
DB00118	SCHEMBL7192080
DB00118	SCHEMBL7192986
DB00118	SCHEMBL7193535
DB00118	SCHEMBL7193587
DB00118	SCHEMBL7194719
DB00118	SCHEMBL7194752
DB00118	SCHEMBL7802310
DB00118	SCHEMBL7810282
DB00118	SCHEMBL8171653
DB00118	SCHEMBL8362630
DB00118	SCHEMBL8362634
DB00118	SCHEMBL8970803
DB00118	SCHEMBL8970812
DB00118	SCHEMBL9437087
DB00118	SCHEMBL9446926
DB00118	SCHEMBL9446936
DB00118	SCHEMBL9446942
DB00118	SCHEMBL9518716
DB00118	SCHEMBL9518725
DB00118	SCHEMBL9698790
DB00119	SCHEMBL13165964
DB00119	SCHEMBL13165965
DB00119	SCHEMBL13221680
DB00119	SCHEMBL1331078
DB00119	SCHEMBL1750
DB00119	SCHEMBL300872
DB00120	SCHEMBL1040108
DB00120	SCHEMBL1152617
DB00120	SCHEMBL1273725
DB00120	SCHEMBL1330932
DB00120	SCHEMBL1331077
DB00120	SCHEMBL1331205
DB00120	SCHEMBL1331228
DB00120	SCHEMBL1331777
DB00120	SCHEMBL1331829
DB00120	SCHEMBL13318945
DB00120	SCHEMBL13318969
DB00120	SCHEMBL1331985
DB00120	SCHEMBL1332173
DB00120	SCHEMBL1332296
DB00120	SCHEMBL1332549
DB00120	SCHEMBL15671104
DB00120	SCHEMBL16945367
DB00120	SCHEMBL20142619
DB00120	SCHEMBL2939606
DB00120	SCHEMBL3051107
DB00120	SCHEMBL3439692
DB00120	SCHEMBL6039618
DB00120	SCHEMBL8118
DB00120	SCHEMBL8119
DB00120	SCHEMBL8819647
DB00120	SCHEMBL92744
DB00120	SCHEMBL9392702
DB00121	SCHEMBL10047687
DB00121	SCHEMBL13049452
DB00121	SCHEMBL13079658
DB00121	SCHEMBL13272362
DB00121	SCHEMBL13528027
DB00121	SCHEMBL14489489
DB00121	SCHEMBL19470295
DB00121	SCHEMBL20547409
DB00121	SCHEMBL3384633
DB00121	SCHEMBL36572
DB00121	SCHEMBL5138303
DB00121	SCHEMBL5376391
DB00121	SCHEMBL59420
DB00121	SCHEMBL826595
DB00121	SCHEMBL8763
DB00121	SCHEMBL8985539
DB00122	SCHEMBL1137997
DB00122	SCHEMBL12096589
DB00122	SCHEMBL13169639
DB00122	SCHEMBL13652102
DB00122	SCHEMBL14330721
DB00122	SCHEMBL16558587
DB00122	SCHEMBL3142
DB00123	SCHEMBL1039959
DB00123	SCHEMBL1039960
DB00123	SCHEMBL1042911
DB00123	SCHEMBL11718104
DB00123	SCHEMBL11718114
DB00123	SCHEMBL12305733
DB00123	SCHEMBL12305735
DB00123	SCHEMBL12305744
DB00123	SCHEMBL12305780
DB00123	SCHEMBL12444142
DB00123	SCHEMBL12707047
DB00123	SCHEMBL12707048
DB00123	SCHEMBL12757156
DB00123	SCHEMBL12867528
DB00123	SCHEMBL13318951
DB00123	SCHEMBL13318967
DB00123	SCHEMBL16011448
DB00123	SCHEMBL1645
DB00123	SCHEMBL1646
DB00123	SCHEMBL16945362
DB00123	SCHEMBL17274566
DB00123	SCHEMBL17449749
DB00123	SCHEMBL17449750
DB00123	SCHEMBL17449751
DB00123	SCHEMBL17449763
DB00123	SCHEMBL17449765
DB00123	SCHEMBL19261437
DB00123	SCHEMBL20362357
DB00123	SCHEMBL3439696
DB00123	SCHEMBL3648265
DB00123	SCHEMBL4337584
DB00123	SCHEMBL7343
DB00125	SCHEMBL12305727
DB00125	SCHEMBL12305732
DB00125	SCHEMBL12305734
DB00125	SCHEMBL12305784
DB00125	SCHEMBL12757147
DB00125	SCHEMBL1286859
DB00125	SCHEMBL13318953
DB00125	SCHEMBL13318960
DB00125	SCHEMBL13318966
DB00125	SCHEMBL16745716
DB00125	SCHEMBL16945368
DB00125	SCHEMBL1790
DB00125	SCHEMBL1791
DB00125	SCHEMBL20362358
DB00125	SCHEMBL20445698
DB00125	SCHEMBL29456
DB00125	SCHEMBL3690277
DB00125	SCHEMBL3692796
DB00125	SCHEMBL6703134
DB00125	SCHEMBL8522530
DB00126	SCHEMBL10957988
DB00126	SCHEMBL11555670
DB00126	SCHEMBL11981759
DB00126	SCHEMBL13468284
DB00126	SCHEMBL18678
DB00126	SCHEMBL19019661
DB00126	SCHEMBL4303832
DB00126	SCHEMBL6028836
DB00126	SCHEMBL679585
DB00126	SCHEMBL734589
DB00126	SCHEMBL785
DB00126	SCHEMBL786
DB00126	SCHEMBL8360664
DB00127	SCHEMBL10921247
DB00127	SCHEMBL10944531
DB00127	SCHEMBL11442576
DB00127	SCHEMBL1167355
DB00127	SCHEMBL1239612
DB00127	SCHEMBL1239615
DB00127	SCHEMBL1240041
DB00127	SCHEMBL1251595
DB00127	SCHEMBL1273895
DB00127	SCHEMBL14142635
DB00127	SCHEMBL1419732
DB00127	SCHEMBL14965
DB00127	SCHEMBL15019629
DB00127	SCHEMBL15019631
DB00127	SCHEMBL15300022
DB00127	SCHEMBL15687817
DB00127	SCHEMBL15688129
DB00127	SCHEMBL15688130
DB00127	SCHEMBL15688266
DB00127	SCHEMBL16431800
DB00127	SCHEMBL1667358
DB00127	SCHEMBL1740431
DB00127	SCHEMBL1890024
DB00127	SCHEMBL1897038
DB00127	SCHEMBL1897039
DB00127	SCHEMBL1919921
DB00127	SCHEMBL19206966
DB00127	SCHEMBL1984897
DB00127	SCHEMBL20501034
DB00127	SCHEMBL2058654
DB00127	SCHEMBL20873770
DB00127	SCHEMBL2109916
DB00127	SCHEMBL2437482
DB00127	SCHEMBL2597748
DB00127	SCHEMBL288605
DB00127	SCHEMBL299228
DB00127	SCHEMBL299229
DB00127	SCHEMBL3059087
DB00127	SCHEMBL3060219
DB00127	SCHEMBL3060222
DB00127	SCHEMBL3129366
DB00127	SCHEMBL3134527
DB00127	SCHEMBL348192
DB00127	SCHEMBL348194
DB00127	SCHEMBL3617952
DB00127	SCHEMBL364155
DB00127	SCHEMBL3727518
DB00127	SCHEMBL3727520
DB00127	SCHEMBL4189335
DB00127	SCHEMBL4189337
DB00127	SCHEMBL4223413
DB00127	SCHEMBL4275609
DB00127	SCHEMBL431884
DB00127	SCHEMBL4801900
DB00127	SCHEMBL4860071
DB00127	SCHEMBL4873629
DB00127	SCHEMBL5271193
DB00127	SCHEMBL5356572
DB00127	SCHEMBL5358017
DB00127	SCHEMBL5360658
DB00127	SCHEMBL5361159
DB00127	SCHEMBL5364138
DB00127	SCHEMBL5364324
DB00127	SCHEMBL5364351
DB00127	SCHEMBL5373330
DB00127	SCHEMBL5375341
DB00127	SCHEMBL5375346
DB00127	SCHEMBL564391
DB00127	SCHEMBL564393
DB00127	SCHEMBL5666086
DB00127	SCHEMBL5698500
DB00127	SCHEMBL5802297
DB00127	SCHEMBL5919642
DB00127	SCHEMBL5953817
DB00127	SCHEMBL6129875
DB00127	SCHEMBL625285
DB00127	SCHEMBL6324105
DB00127	SCHEMBL6328887
DB00127	SCHEMBL6422290
DB00127	SCHEMBL6466326
DB00127	SCHEMBL6713954
DB00127	SCHEMBL674873
DB00127	SCHEMBL7044349
DB00127	SCHEMBL7098369
DB00127	SCHEMBL7153675
DB00127	SCHEMBL7162497
DB00127	SCHEMBL7162500
DB00127	SCHEMBL718674
DB00127	SCHEMBL720710
DB00127	SCHEMBL7261475
DB00127	SCHEMBL7562271
DB00127	SCHEMBL7709508
DB00127	SCHEMBL7750968
DB00127	SCHEMBL7771654
DB00127	SCHEMBL7848256
DB00127	SCHEMBL8012773
DB00127	SCHEMBL8020847
DB00127	SCHEMBL8148971
DB00127	SCHEMBL8334479
DB00127	SCHEMBL8363602
DB00127	SCHEMBL8387221
DB00127	SCHEMBL8443869
DB00127	SCHEMBL8445845
DB00127	SCHEMBL8516450
DB00127	SCHEMBL8516452
DB00127	SCHEMBL8658186
DB00127	SCHEMBL866011
DB00127	SCHEMBL866361
DB00127	SCHEMBL867750
DB00127	SCHEMBL867751
DB00127	SCHEMBL8678866
DB00127	SCHEMBL8898187
DB00127	SCHEMBL8933183
DB00127	SCHEMBL9152590
DB00127	SCHEMBL9331554
DB00127	SCHEMBL9544823
DB00127	SCHEMBL9998789
DB00128	SCHEMBL12708798
DB00128	SCHEMBL12708799
DB00128	SCHEMBL12708801
DB00128	SCHEMBL12757150
DB00128	SCHEMBL13915532
DB00128	SCHEMBL13915533
DB00128	SCHEMBL13915534
DB00128	SCHEMBL145539
DB00128	SCHEMBL17821179
DB00128	SCHEMBL2787502
DB00128	SCHEMBL3230
DB00128	SCHEMBL3231
DB00129	SCHEMBL12757179
DB00129	SCHEMBL13318955
DB00129	SCHEMBL13318959
DB00129	SCHEMBL20362354
DB00129	SCHEMBL43724
DB00129	SCHEMBL8578
DB00129	SCHEMBL8579
DB00130	SCHEMBL12305736
DB00130	SCHEMBL12757159
DB00130	SCHEMBL12803121
DB00130	SCHEMBL12803122
DB00130	SCHEMBL1332116
DB00130	SCHEMBL3439690
DB00130	SCHEMBL411170
DB00130	SCHEMBL411575
DB00130	SCHEMBL411588
DB00130	SCHEMBL528350
DB00130	SCHEMBL60360
DB00130	SCHEMBL6121821
DB00130	SCHEMBL6121826
DB00130	SCHEMBL6122426
DB00130	SCHEMBL7452
DB00130	SCHEMBL7453
DB00130	SCHEMBL756265
DB00131	SCHEMBL11977309
DB00131	SCHEMBL13170051
DB00131	SCHEMBL132458
DB00131	SCHEMBL13374692
DB00131	SCHEMBL14478782
DB00131	SCHEMBL144996
DB00131	SCHEMBL144997
DB00131	SCHEMBL14574967
DB00131	SCHEMBL18287224
DB00131	SCHEMBL18785114
DB00131	SCHEMBL19420134
DB00131	SCHEMBL20277555
DB00131	SCHEMBL2683103
DB00131	SCHEMBL5588
DB00131	SCHEMBL9927470
DB00132	SCHEMBL104101
DB00132	SCHEMBL104456
DB00132	SCHEMBL104457
DB00132	SCHEMBL105729
DB00132	SCHEMBL105730
DB00132	SCHEMBL1060540
DB00132	SCHEMBL1060541
DB00132	SCHEMBL106609
DB00132	SCHEMBL106610
DB00132	SCHEMBL106700
DB00132	SCHEMBL106701
DB00132	SCHEMBL106807
DB00132	SCHEMBL106808
DB00132	SCHEMBL108360
DB00132	SCHEMBL10939553
DB00132	SCHEMBL10941085
DB00132	SCHEMBL109538
DB00132	SCHEMBL109539
DB00132	SCHEMBL11136301
DB00132	SCHEMBL11136304
DB00132	SCHEMBL11207817
DB00132	SCHEMBL11257954
DB00132	SCHEMBL11341583
DB00132	SCHEMBL11583312
DB00132	SCHEMBL11591355
DB00132	SCHEMBL11591358
DB00132	SCHEMBL11594359
DB00132	SCHEMBL1161160
DB00132	SCHEMBL11675366
