drugbank_id	drugcentral_id
DB01273	2808
DB01274	1239
DB01274	4943
DB01275	1384
DB01278	2236
DB01280	1892
DB01282	495
DB01283	1618
DB01284	4516
DB01288	1155
DB01289	1305
DB01291	2199
DB01294	2416
DB01294	4257
DB01295	360
DB01296	1307
DB01297	3486
DB01298	2499
DB01299	2503
DB01301	2399
DB01303	3097
DB01303	4635
DB01319	1240
DB01320	1247
DB01321	1518
DB01324	2228
DB01325	2343
DB01326	527
DB01327	530
DB01328	542
DB01329	543
DB01330	547
DB01331	550
DB01332	563
DB01333	576
DB01336	908
DB01337	2052
DB01338	2183
DB01339	2811
DB01340	641
DB01346	2134
DB01346	2346
DB01346	4523
DB01348	2474
DB01349	3839
DB01351	184
DB01352	232
DB01353	449
DB01354	1360
DB01355	1369
DB01357	1714
DB01359	2078
DB01362	1461
DB01364	1024
DB01364	2326
DB01365	1694
DB01366	2273
DB01367	3521
DB01369	2349
DB01375	4611
DB01380	734
DB01382	1321
DB01388	1797
DB01392	3659
DB01393	362
DB01394	726
DB01395	968
DB01396	881
DB01397	2416
DB01399	2420
DB01400	1897
DB01401	2416
DB01401	3097
DB01401	4635
DB01403	1752
DB01405	2584
DB01406	779
DB01407	673
DB01408	285
DB01409	2677
DB01410	633
DB01411	2237
DB01412	2618
DB01413	535
DB01414	524
DB01415	562
DB01419	3677
DB01420	4146
DB01421	2067
DB01422	1954
DB01423	2479
DB01424	171
DB01425	120
DB01426	100
DB01427	201
DB01428	3412
DB01429	231
DB01430	127
DB01431	125
DB01433	1571
DB01433	1729
DB01435	861
DB01436	130
DB01437	1313
DB01438	2120
DB01444	3156
DB01452	4412
DB01459	363
DB01461	3149
DB01463	1146
DB01466	3207
DB01468	3206
DB01471	468
DB01473	132
DB01475	3733
DB01476	1357
DB01482	1149
DB01483	289
DB01486	2149
DB01486	3389
DB01489	469
DB01490	175
DB01491	921
DB01493	1094
DB01494	347
DB01494	586
DB01495	586
DB01495	861
DB01498	3730
DB01500	3802
DB01501	878
DB01502	850
DB01511	800
DB01521	3112
DB01522	1571
DB01522	1729
DB01524	214
DB01527	715
DB01529	843
DB01531	3134
DB01534	596
DB01536	215
DB01538	69
DB01544	1202
DB01545	1092
DB01546	1117
DB01547	3168
DB01550	1161
DB01551	886
DB01553	721
DB01555	1571
DB01555	1729
DB01556	618
DB01558	399
DB01559	718
DB01563	586
DB01564	468
DB01567	1190
DB01569	1237
DB01576	1562
DB01576	195
DB01576	841
DB01577	1732
DB01577	4641
DB01579	2122
DB01580	2027
DB01581	2510
DB01582	2502
DB01583	1585
DB01583	2646
DB01583	846
DB01586	2797
DB01586	4361
DB01587	1525
DB01588	2240
DB01589	2336
DB01590	1118
DB01591	2457
DB01592	4277
