drugbank_id	comptox_id
DB00387	DTXSID2023515
DB00387	DTXSID8045357
DB00388	DTXSID10207361
DB00388	DTXSID20274766
DB00388	DTXSID3021142
DB00388	DTXSID40627790
DB00388	DTXSID70156563
DB00388	DTXSID80241919
DB00388	DTXSID9023465
DB00389	DTXSID9022736
DB00390	DTXSID5022934
DB00391	DTXSID0042583
DB00391	DTXSID1042574
DB00391	DTXSID70512625
DB00392	DTXSID2023018
DB00392	DTXSID4045347
DB00393	DTXSID30228593
DB00393	DTXSID5023370
DB00393	DTXSID90228594
DB00394	DTXSID00227831
DB00394	DTXSID10872376
DB00394	DTXSID3048730
DB00394	DTXSID90242038
DB00395	DTXSID8024733
DB00396	DTXSID20229998
DB00396	DTXSID3022370
DB00396	DTXSID30585254
DB00396	DTXSID70230433
DB00397	DTXSID00241916
DB00397	DTXSID10207361
DB00397	DTXSID10889348
DB00397	DTXSID20222388
DB00397	DTXSID2025896
DB00397	DTXSID20662169
DB00397	DTXSID20889399
DB00397	DTXSID30676075
DB00397	DTXSID4023466
DB00397	DTXSID50199716
DB00397	DTXSID50889347
DB00397	DTXSID70891149
DB00397	DTXSID80230429
DB00397	DTXSID80891190
DB00397	DTXSID90238092
DB00398	DTXSID60678643
DB00398	DTXSID7041128
DB00398	DTXSID9047839
DB00398	DTXSID90648995
DB00399	DTXSID0042668
DB00399	DTXSID10168029
DB00399	DTXSID80157167
DB00400	DTXSID8020674
DB00401	DTXSID0023371
DB00402	DTXSID40160758
DB00402	DTXSID4041155
DB00402	DTXSID8046086
DB00403	DTXSID8040434
DB00404	DTXSID00159507
DB00404	DTXSID10670071
DB00404	DTXSID4022577
DB00404	DTXSID90746980
DB00405	DTXSID00241916
DB00405	DTXSID2052657
DB00405	DTXSID5022691
DB00405	DTXSID6047818
DB00405	DTXSID8022905
DB00406	DTXSID00885930
DB00406	DTXSID10873000
DB00406	DTXSID40189484
DB00406	DTXSID5020653
DB00406	DTXSID9070876
DB00408	DTXSID3045227
DB00408	DTXSID50857920
DB00408	DTXSID70203304
DB00408	DTXSID7023229
DB00409	DTXSID00151829
DB00409	DTXSID6045668
DB00410	DTXSID0046438
DB00410	DTXSID50746663
DB00410	DTXSID90883142
DB00411	DTXSID0048397
DB00411	DTXSID9022730
DB00412	DTXSID00466743
DB00412	DTXSID2023569
DB00412	DTXSID7037131
DB00412	DTXSID90432078
DB00413	DTXSID10238291
DB00413	DTXSID1044227
DB00413	DTXSID4091526
DB00413	DTXSID50146624
DB00413	DTXSID6023496
DB00413	DTXSID90146623
DB00413	DTXSID90274450
DB00413	DTXSID9091527
DB00414	DTXSID7020007
DB00415	DTXSID00193668
DB00415	DTXSID30199012
DB00415	DTXSID30745912
DB00415	DTXSID40172992
DB00415	DTXSID4022602
DB00415	DTXSID50192303
DB00415	DTXSID60241694
DB00415	DTXSID60274745
DB00415	DTXSID80151701
DB00415	DTXSID80177845
DB00415	DTXSID9020083
DB00415	DTXSID90894834
DB00416	DTXSID0048262
DB00416	DTXSID20149263
DB00416	DTXSID2044349
DB00416	DTXSID30220633
DB00416	DTXSID60713922
DB00416	DTXSID60895055
