drugbank_id	pubchem_dotf_id
DB11656	12013207
DB11669	12015217
DB11672	12013839
DB11675	12014157
DB11684	123055437
DB11689	22395886
DB11693	12015362
DB11698	136350028
DB11699	12013648
DB11702	12012919
DB11705	12013708
DB11716	12015577
DB11723	99431591
DB11736	99431620
DB11738	12012828
DB11740	123055428
DB11742	12014096
DB11744	123055451
DB11745	81044372
DB11747	123055385
DB11749	12015327
DB11757	12014869
DB11758	136349979
DB11759	136350021
DB11774	12014548
DB11774	12014739
DB11775	136350046
DB11778	57304411
DB11780	12014323
DB11783	12014704
DB11792	125299334
DB11793	99431655
DB11800	92309399
DB11805	85197643
DB11807	24714742
DB11808	99431656
DB11811	22395384
