drugbank_id	ibm_id
DB00130	B1FFAFE1986A7EDB2CF7075DC9250403
DB00130	B4DC536DD1D18AD1BD2B1C118BC863D5
DB00130	C509B2A1415A47ECD03F8B8534214091
DB00130	C8AC24D26DFBD0AFA07EA0C168D58CD3
DB00130	E45A34F3B23BE8A9881CC742421C9256
DB00130	F243B1948174668F086DE7C2E9DA7DC3
DB00130	FB58052A1DF5D3250E18CA66E4695FF8
DB00130	FD6D109BD22A8BBDF2C8925EA0ED4F22
DB00131	3BE8F6BC9B0DB3237D96C42F8F0A519E
DB00131	562147DF5C121FF9C6CF8003DC78F4AE
DB00131	63364241D1C270D60C8ECD7C5DD3B277
DB00131	9A22144DAC9B33F78F94322615FA46DB
DB00131	C5021A3894C8EBC2D85E371F859C1C4F
DB00131	D7E1D79206C1483B85FF1BEB5168FD3A
DB00131	DDC8F21449A61959F25D29C63444855C
DB00131	F78D35EE71CE1A1FDE7389746BC41688
DB00131	F91B4203236C78B6DF4C892E69DB4CA2
DB00132	92690B121D4489ACC7941877175960EE
DB00132	FA382C647A032D6CCF128F693CF0AEC1
DB00133	0584FBD50A1F429AAC4F7D297570DFF6
DB00133	18FFE5233D756AC794BFDAD4E7AC86D9
DB00133	29F69D4DFDB9E6B378A4095396EFB1E5
