drugbank_id	fdasrs_id
DB00357	LUC985IS6T
DB00358	326VC85GV6
DB00359	0N7609K889
DB00360	EGX657432I
DB00360	F774380N1W
DB00360	RG277LF5B3
DB00361	253GQW851Q
DB00361	Q6C979R91Y
DB00362	9HLM53094I
DB00363	80862U56A3
DB00363	J60AR2IKIC
DB00364	059QF0KO0R
DB00364	0M75U2ZH0A
DB00364	3XHB1D032B
DB00364	63M8RYN44N
DB00364	7QV8F8BYNJ
DB00364	9159UV381P
DB00364	A8CB6ERJ54
DB00364	E6JGE99TEM
DB00364	J65BV539M3
DB00364	OL741S3N8B
DB00364	P7V86EYZ5L
DB00364	S391KJ684Q
DB00364	XX73205DH5
DB00365	1QUW88X868
DB00365	B60Q83J4KP
DB00365	PN5KPR75RK
DB00365	V2W7W7YB4G
DB00367	5W7SIA7YZW
DB00367	Z2QG2679YT
DB00368	4W6461XR05
DB00368	887AEE91JI
DB00368	IFY5PE3ZRW
DB00368	T7ITS71JTN
DB00368	X4W3ENH1CV
DB00368	ZW81GF408B
DB00369	768M1V522C
DB00369	JIL713Q00N
DB00369	M83JB37U61
DB00370	0UF1VD57JD
DB00370	4685R51V7M
DB00370	5B8X08TH58
DB00370	I2U18E6JKA
DB00370	J12BQ47O1N
DB00370	P7G03HN01K
DB00371	9I7LNY769Q
DB00372	8ETK1WAF6R
DB00372	RUK64CF26E
DB00373	2BG20ZUO2E
DB00373	5JKY92S7BR
DB00373	78U14B243Y
DB00373	817W3C6175
DB00373	P8Y54F701R
DB00374	7JZ75N2NT6
DB00374	H1FKG90039
DB00374	RUM6K67ESG
DB00377	1J5X5HPB4C
DB00377	23310D4I19
DB00377	2UCB21ER4V
DB00377	5D06587D6R
DB00377	X1Q7HOS25Z
DB00377	YZS3R7LP44
DB00378	90I02KLE8K
DB00378	EF38VA583P
DB00378	S48G465CS3
DB00380	048L81261F
DB00380	5346058Q7S
DB00380	GGX7PSE8Z2
DB00380	OQ5MD91OP5
DB00381	0P6NLP6806
DB00381	YUH55G7ZTY
DB00382	4966RNG0BU
DB00382	4VX7YNB537
DB00382	MQ603P8SBL
DB00384	WS821Z52LQ
DB00385	2C6NUM6878
DB00388	04JA59TNSJ
DB00388	1WS297W6MV
DB00388	27O3Q5ML57
DB00388	7Z1M2H6R7G
DB00388	88S59N1LC7
DB00388	8GV2I908QA
DB00388	95T627AGR3
DB00388	DU5ATO7HYP
DB00388	KDF2F27N4T
DB00388	X1AFA37G1O
DB00389	8KQ660G60G
DB00390	73K4184T59
DB00391	3400N2ZP5P
DB00391	4109R0VM5R
DB00391	9964K1S45E
DB00391	JTG7R315LK
DB00392	36P25IV7YN
DB00392	E9CAW05ROP
DB00393	7077ZZ12SE
DB00393	91150Y74PE
DB00394	4H7L9AI22I
DB00394	5B307S63B2
DB00395	CS72YR891K
DB00395	CT4GH6T56G
DB00396	4G7DS2Q64Y
DB00396	R94ZS616JR
DB00397	184M412SJH
DB00397	57B9YG5Y1E
DB00397	7875H6443P
DB00397	B4HG4K9HF5
DB00397	E1L4ZW2F8O
DB00397	IX73851J3P
DB00397	QQ0FVC4PXS
DB00398	41XGO0VS1U
DB00398	5T62Q3B36J
DB00398	9ZOQ3TZI87
DB00398	F3C1QUT2IS
DB00399	1K9U67HDID
DB00399	5CSV5K1879
DB00399	6XC1PAD3KF
DB00399	70HZ18PH24
DB00399	7D7GS1SA24
DB00399	7U1LPD9FR4
DB00399	ARL915IH66
DB00399	IL1N7FSO1U
DB00399	Y1X5LD5UCA
DB00400	32HRV3E3D5
DB00402	7A997Q53NR
DB00402	UZX80K71OE
DB00403	4E1MIA8QQL
DB00403	888Y08971B
DB00404	2I8KVA57TM
DB00404	YU55MQ3IZY
DB00405	75T64B71RP
DB00405	7K632I2FGH
DB00405	BPA9UT29BS
DB00405	XI2Z928Y41
DB00405	Z4L2A7J0MC
DB00406	3GVJ31T6YY
DB00406	J4Z741D6O5
DB00408	376MYL4MAL
DB00408	LER583670J
DB00408	X59SG0MRYU
DB00409	0223RD59PE
DB00409	MH4OU8RWCW
DB00409	QS4S72U30K
