chebi	drugbank
135392	DB13652
135443	DB13507
135461	DB13692
135465	DB08928
135466	DB12598
135495	DB13542
135569	DB09204
135630	DB06751
135635	DB08796
135654	DB11783
135660	DB00886
135666	DB01349
135685	DB13684
135708	DB13788
135710	DB09206
135716	DB13821
135736	DB06268
135754	DB13643
135762	DB14643
135775	DB13676
135778	DB09003
135779	DB06263
135780	DB13500
135787	DB08973
135793	DB09227
135810	DB06199
135821	DB14001
135841	DB01419
135845	DB04834
135848	DB13631
135876	DB00385
135893	DB13861
135894	DB06763
135899	DB09059
135927	DB11275
135930	DB00528
135964	DB06683
135980	DB09326
136000	DB13389
136008	DB11260
136010	DB11327
136017	DB13614
136021	DB13388
136036	DB13674
31331	DB13452
31397	DB01410
31421	DB13617
31583	DB09166
31689	DB12233
31845	DB13456
31952	DB13403
32152	DB11998
32255	DB13311
5109	DB01047
5603	DB00801
6810	DB13586
134066	DB04083
29708	DB11248
31360	DB09010
31605	DB13582
31911	DB06712
32097	DB14727
32278	DB12661
6757	DB00532
9727	DB00347
138865	DB05501
29746	DB02691
16704	DB02745
3176	DB01194
50369	DB11255
31991	DB13212
347401	DB01090
17957	DB02969
49993	DB11589
4530	DB00937
48080	DB07348
9086	DB01037
3165	DB12126
16977	DB00160
59177	DB01237
17660	DB08768
17061	DB02174
7466	DB13169
42575	DB02066
3638	DB00608
18019	DB00123
40432	DB07297
1712	DB12308
2208	DB01033
46823	DB08844
28475	DB03026
16584	DB04714
17823	DB00136
4974	DB00426
15687	DB02788
4356	DB00746
50648	DB00523
16015	DB00142
16985	DB07375
17053	DB00128
44061	DB03071
15465	DB04045
9437	DB11630
391960	DB00496
503442	DB13584
45068	DB08412
367163	DB01264
2791	DB01352
58401	DB03542
18289	DB04745
34892	DB08313
9544	DB00372
4450	DB00035
32354	DB14739
40356	DB03567
145791	DB00209
45626	DB03303
131723	DB13699
131726	DB13795
131731	DB13778
131733	DB13739
131753	DB07938
131527	DB09414
132084	DB08009
42156	DB07702
553473	DB01332
39634	DB06876
27698	DB13971
17276	DB07810
46311	DB04059
17665	DB02007
50931	DB01239
8736	DB03322
